candidate_id,target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,68.674149,37.253663,0.050036,0.189652
ambench_line0_1_phase51_dense_csv,target_frame_q90,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,27.840977,21.680731,0.020373,0.076886
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,test,7,101.199757,68.374328,0.076048,0.279475
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,train,21,66.565847,34.307865,0.048500,0.183830
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,knn,model:knn:fit=train,val,7,32.846987,25.888021,0.024036,0.090711
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,test,7,91.087950,56.787133,0.068450,0.251550
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,extra_trees,model:extra_trees:fit=train,val,7,27.681403,22.216032,0.020256,0.076445
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,94.360027,58.827933,0.070909,0.260586
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,68.674149,37.253663,0.050036,0.189652
ambench_line0_1_phase51_dense_csv,target_frame_q90,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,27.840977,21.680731,0.020373,0.076886
ambench_line0_1_phase51_dense_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,test,7,34.294440,21.163358,0.342424,0.277317
ambench_line0_1_phase51_dense_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,train,21,22.497572,9.715727,0.205477,0.181923
ambench_line0_1_phase51_dense_csv,target_frame_std,mean_guard,mean,constant:mean:fit=train,val,7,5.153724,4.227859,0.046927,0.041675
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,knn,model:knn:fit=train,test,7,36.288156,22.545789,0.362331,0.293439
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,knn,model:knn:fit=train,train,21,21.093253,8.260132,0.192651,0.170568
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,knn,model:knn:fit=train,val,7,4.983033,4.082656,0.045373,0.040295
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,extra_trees,model:extra_trees:fit=train,test,7,34.710021,20.684019,0.346574,0.280678
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,extra_trees,model:extra_trees:fit=train,val,7,4.694750,3.866695,0.042748,0.037963
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,34.294440,21.163358,0.342424,0.277317
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,22.497572,9.715727,0.205477,0.181923
ambench_line0_1_phase51_dense_csv,target_frame_std,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,5.153724,4.227859,0.046927,0.041675
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,knn,model:knn:fit=train,test,7,36.288156,22.545789,0.362331,0.293439
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,knn,model:knn:fit=train,train,21,21.093253,8.260132,0.192651,0.170568
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,knn,model:knn:fit=train,val,7,4.983033,4.082656,0.045373,0.040295
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,extra_trees,model:extra_trees:fit=train,test,7,34.710021,20.684019,0.346574,0.280678
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,extra_trees,model:extra_trees:fit=train,val,7,4.694750,3.866695,0.042748,0.037963
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,34.294440,21.163358,0.342424,0.277317
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,22.497572,9.715727,0.205477,0.181923
ambench_line0_1_phase51_dense_csv,target_frame_std,process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,5.153724,4.227859,0.046927,0.041675
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,knn,model:knn:fit=train,test,7,36.288156,22.545789,0.362331,0.293439
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,knn,model:knn:fit=train,train,21,21.093253,8.260132,0.192651,0.170568
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,knn,model:knn:fit=train,val,7,4.983033,4.082656,0.045373,0.040295
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,extra_trees,model:extra_trees:fit=train,test,7,34.710021,20.684019,0.346574,0.280678
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,extra_trees,model:extra_trees:fit=train,val,7,4.694750,3.866695,0.042748,0.037963
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,34.294440,21.163358,0.342424,0.277317
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,22.497572,9.715727,0.205477,0.181923
ambench_line0_1_phase51_dense_csv,target_frame_std,line_process_time,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,5.153724,4.227859,0.046927,0.041675
ambench_line0_1_phase51_dense_csv,target_frame_range,mean_guard,mean,constant:mean:fit=train,test,7,121.394864,73.768683,0.359741,0.351841
ambench_line0_1_phase51_dense_csv,target_frame_range,mean_guard,mean,constant:mean:fit=train,train,21,73.468891,31.291626,0.195225,0.212936
ambench_line0_1_phase51_dense_csv,target_frame_range,mean_guard,mean,constant:mean:fit=train,val,7,16.466004,16.466004,0.042707,0.047724
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,knn,model:knn:fit=train,test,7,129.034511,66.752432,0.382381,0.373983
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,knn,model:knn:fit=train,train,21,68.516298,22.663316,0.182065,0.198582
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,knn,model:knn:fit=train,val,7,0.094752,0.094752,0.000246,0.000275
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,extra_trees,model:extra_trees:fit=train,test,7,129.083454,66.711824,0.382526,0.374124
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,extra_trees,model:extra_trees:fit=train,train,21,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,extra_trees,model:extra_trees:fit=train,val,7,0.000000,0.000000,0.000000,0.000000
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,7,121.394864,73.768683,0.359741,0.351841
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,21,73.468891,31.291626,0.195225,0.212936
ambench_line0_1_phase51_dense_csv,target_frame_range,time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,7,16.466004,16.466004,0.042707,0.047724
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,knn,model:knn:fit=train,test,7,129.034511,66.752432,0.382381,0.373983
ambench_line0_1_phase51_dense_csv,target_frame_range,process_time,knn,model:knn:fit=train,train,21,68.516298,22.663316,0.182065,0.198582
