target,split_id,split_strategy,profile,profile_role,method,train_rows,val_rows,test_rows,train_balanced_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_accuracy,test_accuracy,val_log_loss,test_log_loss,majority_val_balanced_accuracy,majority_test_balanced_accuracy,val_balanced_accuracy_gain_vs_majority,test_balanced_accuracy_gain_vs_majority,selected_admissible,selected_negative_control
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,common_plus_descriptors,admissible,hist_gradient_boosting,3624,1263,793,0.983996548,0.742455519,0.689405598,0.809184481,0.755359395,0.479790486,0.598250666,0.500000000,0.500000000,0.242455519,0.189405598,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,composition_hash_shortcut,negative_control,knn,3624,1263,793,0.733557806,0.500000000,0.500000000,0.668250198,0.675914250,0.652146482,0.643726660,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,chemistry_family_shortcut,negative_control,knn,3624,1263,793,0.627374018,0.500000000,0.500000000,0.331749802,0.324085750,1.021829952,1.030249773,0.500000000,0.500000000,0.000000000,0.000000000,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,knn,3624,1263,793,0.637603564,0.496277246,0.540238980,0.623119557,0.648171501,2.699944896,1.856089835,0.500000000,0.500000000,-0.003722754,0.040238980,false,false
gfa,chemistry_family_hash_1,group_hash_by_chemistry_family_key,dominant_element_shortcut,negative_control,extra_trees,3624,1263,793,0.676895046,0.607798697,0.535883327,0.646080760,0.493064313,0.665458631,0.760243204,0.500000000,0.500000000,0.107798697,0.035883327,false,true
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,knn,2379,1465,1836,0.681642792,0.708266802,0.612948275,0.760409556,0.728758170,0.659344528,1.094217209,0.500000000,0.500000000,0.208266802,0.112948275,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,extra_trees,2379,1465,1836,1.000000000,0.732180658,0.711409396,0.748805461,0.783224401,0.491682341,0.512358929,0.500000000,0.500000000,0.232180658,0.211409396,true,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,composition_descriptors,admissible,hist_gradient_boosting,2379,1465,1836,0.991406639,0.708336888,0.708297743,0.732423208,0.742374728,0.580244902,0.673756058,0.500000000,0.500000000,0.208336888,0.208297743,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,knn,2379,1465,1836,0.742162349,0.629228069,0.555996204,0.681228669,0.742374728,0.649884659,0.829146503,0.500000000,0.500000000,0.129228069,0.055996204,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,extra_trees,2379,1465,1836,0.967420346,0.653091137,0.632397804,0.660750853,0.760893246,0.651344385,0.527799164,0.500000000,0.500000000,0.153091137,0.132397804,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,common_element_fractions,admissible,hist_gradient_boosting,2379,1465,1836,0.917805385,0.637131637,0.666226019,0.665529010,0.735838780,0.647778426,0.646607155,0.500000000,0.500000000,0.137131637,0.166226019,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,knn,2379,1465,1836,0.736891476,0.576149933,0.562910989,0.689419795,0.747821351,0.689841252,0.839158577,0.500000000,0.500000000,0.076149933,0.062910989,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,extra_trees,2379,1465,1836,1.000000000,0.657689448,0.628987865,0.711262799,0.781045752,0.529680764,0.471060535,0.500000000,0.500000000,0.157689448,0.128987865,false,false
gfa,chemistry_family_hash_2,group_hash_by_chemistry_family_key,all_element_fractions,admissible,hist_gradient_boosting,2379,1465,1836,0.961360115,0.676574314,0.648627212,0.700341297,0.751089325,0.571402577,0.600150989,0.500000000,0.500000000,0.176574314,0.148627212,false,false
