seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,train_objective,learned_center_shift,learned_source_width,raw_closure_coeff,calibrated_closure_coeff
171,P169-CASE-043,train,uniform_grid_latent_trainable_control,1,48,17,137,0.0005089446,0.0001158435,0.073840454,0.1004602456,0.0836562091
171,P169-CASE-044,test,tiny_explicit_latent_hidden_closure_smoke,2,48,42,338,0.0006417544,-0.0002082324,0.0958389896,-0.1018626362,-0.1074773241
171,P169-CASE-044,test,uniform_grid_latent_trainable_control,1,48,23,185,0.0006417573,-0.0002120242,0.0958367505,-0.1017255547,-0.0960353143
171,P169-CASE-045,train,tiny_explicit_latent_hidden_closure_smoke,2,48,41,330,0.0005615197,0.0001812816,0.0958073055,-0.0285561684,-0.0385096061
171,P169-CASE-045,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0005615197,0.0001812816,0.0958073055,-0.0285561684,-0.0301588807
171,P169-CASE-046,train,tiny_explicit_latent_hidden_closure_smoke,2,48,41,330,0.0007252581,-2.0879e-06,0.0957794146,0.06761566,0.0482203037
171,P169-CASE-046,train,uniform_grid_latent_trainable_control,1,48,21,169,0.0007252599,0,0.0957820936,0.0675056967,0.0563062763
171,P169-CASE-047,val,tiny_explicit_latent_hidden_closure_smoke,2,48,42,338,0.0004857412,-5.954e-05,0.0959063787,0.1001837136,0.0782498015
171,P169-CASE-047,val,uniform_grid_latent_trainable_control,1,48,23,185,0.0004857412,-5.954e-05,0.0959063787,0.1001837136,0.0857338313
171,P169-CASE-048,test,tiny_explicit_latent_hidden_closure_smoke,3,48,65,523,0.0005713996,0.0259932821,0.0360355084,-0.1051995064,-0.1068266027
171,P169-CASE-048,test,uniform_grid_latent_trainable_control,1,48,27,217,0.0005714036,0.0259961115,0.0360382161,-0.1052318551,-0.1046322552
171,P169-CASE-049,train,tiny_explicit_latent_hidden_closure_smoke,3,48,68,547,0.0006621326,0.0261387145,0.0361657652,-0.0351776407,-0.048000914
171,P169-CASE-049,train,uniform_grid_latent_trainable_control,1,48,28,225,0.0006621517,0.0261388372,0.0361594871,-0.0350456372,-0.041433725
171,P169-CASE-050,train,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0006884312,0.0261091255,0.0359237478,0.0468892985,0.0308753739
171,P169-CASE-050,train,uniform_grid_latent_trainable_control,1,48,27,217,0.0006884346,0.0261028463,0.0359229885,0.0468543861,0.032265633
171,P169-CASE-051,val,tiny_explicit_latent_hidden_closure_smoke,3,48,67,539,0.0005834802,0.0261223358,0.0360307957,0.1299232275,0.1064148118
171,P169-CASE-051,val,uniform_grid_latent_trainable_control,1,48,27,217,0.0005834853,0.0261264027,0.0360374104,0.1298115017,0.1069556684
171,P169-CASE-052,train,tiny_explicit_latent_hidden_closure_smoke,3,48,61,491,0.0004888746,0.0258963514,0.05385488,-0.1071340461,-0.0901516725
171,P169-CASE-052,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0004888772,0.0258965767,0.0538567914,-0.1071752649,-0.1045015512
171,P169-CASE-053,val,tiny_explicit_latent_hidden_closure_smoke,3,48,63,507,0.0005444079,0.0259654938,0.0541904409,-0.0598609322,-0.0607629444
171,P169-CASE-053,val,uniform_grid_latent_trainable_control,1,48,23,185,0.0005444097,0.02597168,0.0541837874,-0.0597759716,-0.0617961036
171,P169-CASE-054,train,tiny_explicit_latent_hidden_closure_smoke,3,48,60,483,0.000631932,0.0259710891,0.0542296618,0.0394169292,0.0302271985
171,P169-CASE-054,train,uniform_grid_latent_trainable_control,1,48,22,177,0.0006319357,0.02597168,0.0542353989,0.0392868142,0.0273846613
171,P169-CASE-055,test,tiny_explicit_latent_hidden_closure_smoke,3,48,58,467,0.0004592202,0.0260727001,0.0540721074,0.1329933475,0.1152786496
