split_id,profile,method,role,split,rmse,mae,r2,n_rows
element_set_hash_0,element_fraction_vector,hist_gradient_boosting,admissible,val,12.7986604529,7.82368013154,0.851129899016,3849
element_set_hash_0,element_fraction_vector,hist_gradient_boosting,admissible,test,12.181509477,8.06090282679,0.886698547997,4363
element_set_hash_0,formula_shape_control,knn,shortcut_control,train,15.3463604623,9.03766120657,0.794400983549,13051
element_set_hash_0,formula_shape_control,knn,shortcut_control,val,23.6649061482,15.4254972331,0.491034879553,3849
element_set_hash_0,formula_shape_control,knn,shortcut_control,test,26.2707264668,17.0477182749,0.473040272573,4363
element_set_hash_0,formula_shape_control,extra_trees,shortcut_control,train,15.1391871613,10.0982232674,0.799914618766,13051
element_set_hash_0,formula_shape_control,extra_trees,shortcut_control,val,21.4451952784,14.180115797,0.582036402492,3849
element_set_hash_0,formula_shape_control,extra_trees,shortcut_control,test,24.2968851326,16.0321407727,0.549251321945,4363
element_set_hash_0,element_set_hash_control,knn,shortcut_control,train,14.244477906,7.74592981659,0.822865435121,13051
element_set_hash_0,element_set_hash_control,knn,shortcut_control,val,31.707810808,21.3504277984,0.0862845582731,3849
element_set_hash_0,element_set_hash_control,knn,shortcut_control,test,29.5496490572,20.6272205422,0.333288547193,4363
element_set_hash_0,element_set_hash_control,extra_trees,shortcut_control,train,13.9153163589,8.74770603027,0.830957303601,13051
element_set_hash_0,element_set_hash_control,extra_trees,shortcut_control,val,26.6872928606,17.8625412297,0.352727000527,3849
element_set_hash_0,element_set_hash_control,extra_trees,shortcut_control,test,28.2870443239,19.8984263558,0.389046154578,4363
element_set_hash_0,row_order_control,knn,shortcut_control,train,0,0,1,13051
element_set_hash_0,row_order_control,knn,shortcut_control,val,24.0694923756,15.1262382164,0.473483106392,3849
element_set_hash_0,row_order_control,knn,shortcut_control,test,27.629801068,17.9610579117,0.417107084643,4363
element_set_hash_0,row_order_control,extra_trees,shortcut_control,train,13.7125169747,9.24196766315,0.835848596867,13051
element_set_hash_0,row_order_control,extra_trees,shortcut_control,val,23.5046978036,15.3864805672,0.497902808775,3849
element_set_hash_0,row_order_control,extra_trees,shortcut_control,test,26.9343250445,18.0643447034,0.446082030095,4363
element_set_hash_1,train_mean,mean,mean_baseline,train,35.2391283175,30.817329334,0,12780
element_set_hash_1,train_mean,mean,mean_baseline,val,31.3024808326,26.9872439626,-0.037141372164,3887
element_set_hash_1,train_mean,mean,mean_baseline,test,34.0060779516,28.9214770111,-0.00272027790414,4596
element_set_hash_1,uci_feature_full,knn,admissible,train,4.96231546219,1.64024325678,0.980170195843,12780
element_set_hash_1,uci_feature_full,knn,admissible,val,14.8023998443,9.1450458672,0.768076527569,3887
element_set_hash_1,uci_feature_full,knn,admissible,test,17.6776334957,10.8675602996,0.729033902336,4596
element_set_hash_1,uci_feature_full,extra_trees,admissible,train,5.30633854814,2.47490739102,0.977325402034,12780
element_set_hash_1,uci_feature_full,extra_trees,admissible,val,12.6959802641,8.13527109812,0.829386685703,3887
element_set_hash_1,uci_feature_full,extra_trees,admissible,test,13.3528900508,8.6772740525,0.845397236828,4596
element_set_hash_1,uci_feature_full,hist_gradient_boosting,admissible,train,8.61563634367,5.45349187024,0.940224336551,12780
element_set_hash_1,uci_feature_full,hist_gradient_boosting,admissible,val,13.0143201491,8.63394244955,0.820723479564,3887
element_set_hash_1,uci_feature_full,hist_gradient_boosting,admissible,test,13.7486920052,9.09787236844,0.836096030389,4596
element_set_hash_1,weighted_feature_core,knn,admissible,train,4.96233569901,1.6403121762,0.980170034107,12780
element_set_hash_1,weighted_feature_core,knn,admissible,val,13.1190329276,7.98662015346,0.817826968031,3887
element_set_hash_1,weighted_feature_core,knn,admissible,test,16.1957170481,9.61992024965,0.77255988457,4596
element_set_hash_1,weighted_feature_core,extra_trees,admissible,train,5.32263118585,2.49377251685,0.977185947623,12780
element_set_hash_1,weighted_feature_core,extra_trees,admissible,val,12.0404670047,7.66915607871,0.846549924623,3887
element_set_hash_1,weighted_feature_core,extra_trees,admissible,test,13.1256145313,8.27273412822,0.850615341889,4596
element_set_hash_1,weighted_feature_core,hist_gradient_boosting,admissible,train,9.01057439584,5.71087300075,0.934618536231,12780
element_set_hash_1,weighted_feature_core,hist_gradient_boosting,admissible,val,13.1492251536,8.76596934222,0.816987494803,3887
element_set_hash_1,weighted_feature_core,hist_gradient_boosting,admissible,test,13.6710959699,8.90818744625,0.837940919765,4596
element_set_hash_1,element_fraction_vector,knn,admissible,train,4.94676464644,1.62810662795,0.980294285676,12780
element_set_hash_1,element_fraction_vector,knn,admissible,val,15.2524318029,9.24563125941,0.753759986687,3887
element_set_hash_1,element_fraction_vector,knn,admissible,test,17.3324345657,10.5287262726,0.739513125803,4596
element_set_hash_1,element_fraction_vector,extra_trees,admissible,train,6.31551599961,3.29098567044,0.967880604338,12780
element_set_hash_1,element_fraction_vector,extra_trees,admissible,val,11.5125994702,7.10222534392,0.8597098326,3887
element_set_hash_1,element_fraction_vector,extra_trees,admissible,test,12.6320703037,7.9495328849,0.861638336814,4596
element_set_hash_1,element_fraction_vector,hist_gradient_boosting,admissible,train,10.0208666132,6.33525708601,0.919135063754,12780
element_set_hash_1,element_fraction_vector,hist_gradient_boosting,admissible,val,12.0185128666,7.90737487846,0.847109004732,3887
element_set_hash_1,element_fraction_vector,hist_gradient_boosting,admissible,test,12.9075894694,8.53759011277,0.85553687879,4596
element_set_hash_1,formula_shape_control,knn,shortcut_control,train,16.1772157774,9.05139440519,0.789255018034,12780
element_set_hash_1,formula_shape_control,knn,shortcut_control,val,21.8510639945,14.4097901803,0.494611191929,3887
element_set_hash_1,formula_shape_control,knn,shortcut_control,test,23.9915572358,15.6675668824,0.500904583442,4596
element_set_hash_1,formula_shape_control,extra_trees,shortcut_control,train,16.0014463946,10.4824547411,0.79380972979,12780
element_set_hash_1,formula_shape_control,extra_trees,shortcut_control,val,19.5057858521,13.2116196539,0.597276153619,3887
element_set_hash_1,formula_shape_control,extra_trees,shortcut_control,test,21.6125982983,14.7521089195,0.594976083597,4596
element_set_hash_1,element_set_hash_control,knn,shortcut_control,train,12.987004053,6.8332685815,0.864178776611,12780
element_set_hash_1,element_set_hash_control,knn,shortcut_control,val,26.6260541849,17.6140557853,0.249597857684,3887
element_set_hash_1,element_set_hash_control,knn,shortcut_control,test,31.8787835426,22.0239173345,0.118808726944,4596
element_set_hash_1,element_set_hash_control,extra_trees,shortcut_control,train,13.4579469964,8.35398765476,0.854149704658,12780
element_set_hash_1,element_set_hash_control,extra_trees,shortcut_control,val,22.4937536569,15.2927649877,0.464444712423,3887
element_set_hash_1,element_set_hash_control,extra_trees,shortcut_control,test,27.8259293679,19.1457314222,0.328623613145,4596
element_set_hash_1,row_order_control,knn,shortcut_control,train,0,0,1,12780
element_set_hash_1,row_order_control,knn,shortcut_control,val,23.3598058654,15.4034255774,0.422411017235,3887
element_set_hash_1,row_order_control,knn,shortcut_control,test,26.8010252989,17.4448302132,0.377170000099,4596
element_set_hash_1,row_order_control,extra_trees,shortcut_control,train,14.0401536852,9.32888669776,0.841257429257,12780
element_set_hash_1,row_order_control,extra_trees,shortcut_control,val,22.6464948668,15.5889414081,0.457146766941,3887
element_set_hash_1,row_order_control,extra_trees,shortcut_control,test,25.6312591376,17.2157682352,0.430351984681,4596
element_set_hash_2,train_mean,mean,mean_baseline,train,33.6901127923,29.0530745716,0,13096
element_set_hash_2,train_mean,mean,mean_baseline,val,36.6844057519,31.3678217077,-0.000101823310976,3474
element_set_hash_2,train_mean,mean,mean_baseline,test,33.9482927224,28.5859951528,-4.97563273589e-05,4693
element_set_hash_2,uci_feature_full,knn,admissible,train,4.70574421757,1.47102911418,0.98049024999,13096
element_set_hash_2,uci_feature_full,knn,admissible,val,19.232161152,10.98002023,0.725123620984,3474
