seed,case_id,split,variant_id,family,field_rmse,hot_q90_rmse,gradient_q90_rmse,closure_abs_error,coverage90_mean,selection_score
171,P169-CASE-070,test,data_only_sensor_regression_control,control,2.132038657,4.611707274,2.88681997,0.035,0,3.389312109
171,P169-CASE-070,test,fixed_nominal_source_closure_control,control,1.147594761,2.266429205,2.429270488,1.368679748,0,2.890317463
171,P169-CASE-072,test,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0144782539,0.0215808701,0.0256402656,0.0259768713,1,0.042841108
171,P169-CASE-072,test,posterior_only_calibrated_bayesian_no_neural,control,0.0144782539,0.0215808701,0.0256402656,0.0211400631,1,0.0392135018
171,P169-CASE-072,test,grid_least_squares_source_closure_control,control,0.0145075928,0.0216364311,0.0256930749,0.0212084615,0,0.0573105327
171,P169-CASE-072,test,no_closure_source_control,control,0.0186401611,0.0179500673,0.0209531785,0.115,0,0.1305754924
171,P169-CASE-072,test,wrong_source_prior_control,control,0.6230087954,0.8967222816,1.262120063,0.627161355,0,1.418936274
171,P169-CASE-072,test,data_only_sensor_regression_control,control,1.816562913,3.678168792,2.160291522,0.115,0,2.874475824
171,P169-CASE-072,test,fixed_nominal_source_closure_control,control,0.9553590946,1.717284009,2.032390171,1.202170046,0,2.423682448
171,P169-CASE-075,val,calibrated_hidden_source_closure_parameter_head,mechanism_candidate,0.0154837747,0.0147261167,0.0297351168,0.0090564766,0.6666666667,0.0328615338
171,P169-CASE-075,val,posterior_only_calibrated_bayesian_no_neural,control,0.0154837747,0.0147261167,0.0297351168,0.0294381445,0.6666666667,0.0481477847
171,P169-CASE-075,val,grid_least_squares_source_closure_control,control,0.0154837827,0.0147261223,0.0297351332,0.029438164,0,0.0634811434
171,P169-CASE-075,val,no_closure_source_control,control,0.0218013266,0.0260788744,0.0382574618,0.105,0,0.1295928477
171,P169-CASE-075,val,wrong_source_prior_control,control,0.6342997135,0.9309642076,1.264361866,0.6352695786,0,1.443380926
171,P169-CASE-075,val,data_only_sensor_regression_control,control,1.827194451,3.725800378,2.199106034,0.105,0,2.89101513
