target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_center_periphery_contrast,gcode_layer_path,knn,model:knn:fit=train,train,76,1.839739,1.174896,0.066760,0.081325,2.563489,1.839739
target_center_periphery_contrast,gcode_layer_path,knn,model:knn:fit=train,val,26,2.437558,1.892719,0.092298,0.530848,0.402158,2.437558
target_center_periphery_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,test,26,1.856288,1.406926,0.069635,0.330524,2.027325,1.856288
target_center_periphery_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,train,76,1.652154,1.110876,0.059953,0.073033,1.902075,1.652154
target_center_periphery_contrast,gcode_layer_path,extra_trees,model:extra_trees:fit=train,val,26,3.224249,2.675052,0.122086,0.702172,3.662840,3.224249
target_center_periphery_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.940388,1.530522,0.072789,0.345499,2.999735,1.940388
target_center_periphery_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.183934,1.191885,0.079250,0.096540,3.021398,2.183934
target_center_periphery_contrast,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.038398,1.560461,0.077184,0.443919,1.503384,2.038398
target_center_periphery_contrast,gcode_strategy_params,knn,model:knn:fit=train,test,26,1.768582,1.421829,0.066345,0.314908,1.848204,1.768582
target_center_periphery_contrast,gcode_strategy_params,knn,model:knn:fit=train,train,76,2.503785,1.320742,0.090857,0.110679,3.799961,2.503785
target_center_periphery_contrast,gcode_strategy_params,knn,model:knn:fit=train,val,26,1.701918,1.272909,0.064443,0.370641,0.721466,1.701918
target_center_periphery_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,test,26,1.577709,1.225679,0.059184,0.280922,1.872158,1.577709
target_center_periphery_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,train,76,2.461763,1.263671,0.089332,0.108821,3.933978,2.461763
target_center_periphery_contrast,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,val,26,1.519917,1.130062,0.057552,0.331005,0.739717,1.519917
target_center_periphery_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.584737,1.270486,0.059448,0.282173,1.919784,1.584737
target_center_periphery_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.466152,1.272947,0.089492,0.109015,3.981239,2.466152
target_center_periphery_contrast,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.545935,1.162585,0.058537,0.336671,0.776933,1.545935
target_center_periphery_contrast,gcode_all,knn,model:knn:fit=train,test,26,1.663189,1.315075,0.062391,0.296142,2.118086,1.663189
target_center_periphery_contrast,gcode_all,knn,model:knn:fit=train,train,76,1.785358,1.110876,0.064787,0.078921,2.737433,1.785358
target_center_periphery_contrast,gcode_all,knn,model:knn:fit=train,val,26,2.475985,1.707511,0.093753,0.539216,4.064382,2.475985
target_center_periphery_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,test,26,1.598567,1.212268,0.059967,0.284636,2.184769,1.598567
target_center_periphery_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,train,76,1.652154,1.110876,0.059953,0.073033,1.902075,1.652154
target_center_periphery_contrast,gcode_all,extra_trees,model:extra_trees:fit=train,val,26,3.316949,2.373039,0.125596,0.722360,5.086202,3.316949
target_center_periphery_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.894708,1.480019,0.071076,0.337365,3.027297,1.894708
target_center_periphery_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.186965,1.198594,0.079360,0.096674,3.056371,2.186965
target_center_periphery_contrast,gcode_all,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.986972,1.527766,0.075237,0.432720,1.540772,1.986972
target_center_periphery_contrast,layer_time_strategy,knn,model:knn:fit=train,test,26,3.057189,1.805726,0.114684,0.544353,7.382730,3.057189
target_center_periphery_contrast,layer_time_strategy,knn,model:knn:fit=train,train,76,1.749202,0.742290,0.063475,0.077323,3.137197,1.749202
target_center_periphery_contrast,layer_time_strategy,knn,model:knn:fit=train,val,26,2.317937,1.413841,0.087769,0.504797,5.247136,2.317937
target_center_periphery_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,test,26,10.121764,7.315687,0.379696,1.802248,18.468173,10.121764
target_center_periphery_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_center_periphery_contrast,layer_time_strategy,extra_trees,model:extra_trees:fit=train,val,26,9.386808,6.949879,0.355432,2.044246,14.311571,9.386808
target_center_periphery_contrast,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.539200,0.895149,0.057740,0.274065,4.042532,1.539200
target_center_periphery_contrast,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.059780,0.979833,0.074745,0.091052,2.996324,2.059780
target_center_periphery_contrast,layer_time_strategy,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.973120,0.568052,0.036847,0.211925,2.531994,0.973120
target_grid_mean_range,mean_guard,mean,constant:mean:fit=train,test,26,3.969936,3.440111,0.065964,0.287833,5.588487,3.969936
target_grid_mean_range,mean_guard,mean,constant:mean:fit=train,train,76,4.061483,3.077244,0.067190,0.150831,8.683258,4.061483
target_grid_mean_range,mean_guard,mean,constant:mean:fit=train,val,26,3.763895,3.173060,0.063598,0.329781,2.828052,3.763895
target_grid_mean_range,xypt_guard,knn,model:knn:fit=train,test,26,4.174418,3.659511,0.069361,0.302659,6.170271,4.174418
target_grid_mean_range,xypt_guard,knn,model:knn:fit=train,train,76,3.240807,2.744796,0.053614,0.120354,5.197366,3.240807
target_grid_mean_range,xypt_guard,knn,model:knn:fit=train,val,26,4.777220,3.992795,0.080720,0.418565,3.650665,4.777220
target_grid_mean_range,xypt_guard,extra_trees,model:extra_trees:fit=train,test,26,3.918775,3.436403,0.065113,0.284124,4.353851,3.918775
target_grid_mean_range,xypt_guard,extra_trees,model:extra_trees:fit=train,train,76,3.015860,2.680770,0.049892,0.112000,4.323085,3.015860
target_grid_mean_range,xypt_guard,extra_trees,model:extra_trees:fit=train,val,26,4.099265,3.524082,0.069265,0.359165,2.552328,4.099265
target_grid_mean_range,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.663410,3.251615,0.060870,0.265609,4.002784,3.663410
target_grid_mean_range,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.585752,2.765928,0.059320,0.133164,7.155786,3.585752
target_grid_mean_range,xypt_guard,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.889820,3.266203,0.065726,0.340814,1.325687,3.889820
target_grid_mean_range,gcode_layer_path,knn,model:knn:fit=train,test,26,3.962836,3.418299,0.065846,0.287318,3.540714,3.962836
target_grid_mean_range,gcode_layer_path,knn,model:knn:fit=train,train,76,3.654690,2.999587,0.060461,0.135724,5.378229,3.654690
target_grid_mean_range,gcode_layer_path,knn,model:knn:fit=train,val,26,5.461824,4.292529,0.092288,0.478548,2.311721,5.461824
target_grid_mean_range,gcode_layer_path,extra_trees,model:extra_trees:fit=train,test,26,3.965753,3.506759,0.065894,0.287530,5.600607,3.965753
target_grid_mean_range,gcode_layer_path,extra_trees,model:extra_trees:fit=train,train,76,3.015860,2.680770,0.049892,0.112000,4.323085,3.015860
target_grid_mean_range,gcode_layer_path,extra_trees,model:extra_trees:fit=train,val,26,5.126128,4.003740,0.086616,0.449136,2.659205,5.126128
target_grid_mean_range,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.945574,3.492921,0.065559,0.286067,5.606180,3.945574
target_grid_mean_range,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.841355,2.919571,0.063549,0.142657,8.073159,3.841355
target_grid_mean_range,gcode_layer_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.976542,3.075426,0.067191,0.348412,2.178966,3.976542
target_grid_mean_range,gcode_strategy_params,knn,model:knn:fit=train,test,26,4.356252,3.379007,0.072382,0.315842,4.935589,4.356252
target_grid_mean_range,gcode_strategy_params,knn,model:knn:fit=train,train,76,4.268501,3.037892,0.070615,0.158520,8.148079,4.268501
target_grid_mean_range,gcode_strategy_params,knn,model:knn:fit=train,val,26,4.454641,3.261897,0.075270,0.390302,4.767640,4.454641
target_grid_mean_range,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,test,26,3.691025,3.114729,0.061329,0.267611,4.551246,3.691025
target_grid_mean_range,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,train,76,3.913031,2.982417,0.064734,0.145318,7.959138,3.913031
target_grid_mean_range,gcode_strategy_params,extra_trees,model:extra_trees:fit=train,val,26,3.687405,3.046483,0.062306,0.323079,2.846431,3.687405
target_grid_mean_range,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.694254,3.135358,0.061383,0.267845,4.616734,3.694254
target_grid_mean_range,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.918512,2.993481,0.064825,0.145522,8.011350,3.918512
target_grid_mean_range,gcode_strategy_params,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.671388,3.046483,0.062035,0.321676,2.613270,3.671388
target_grid_mean_range,gcode_all,knn,model:knn:fit=train,test,26,3.782556,3.151054,0.062850,0.274247,2.577864,3.782556
