target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase124_guard_profile,phase124_guard_method,phase124_guard_val_rmse,phase124_guard_test_rmse,phase124_nearest_neighbor_val_rmse,phase124_nearest_neighbor_test_rmse,phase123_selected_profile,phase123_selected_method,phase123_selected_val_rmse,phase123_selected_test_rmse,val_gain_vs_phase124,relative_val_gain_vs_phase124,test_gain_vs_phase124,test_reversal_ratio_vs_phase124,val_gain_vs_phase123,test_gain_vs_phase123,clears_phase124_validation_guard,clears_phase124_test_guard,selected_low_capacity
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.0001,0.000100000,,16,1.189340376,1.116160098,1.422353376,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399486774,-0.557418227,-0.369253325,1.350634609,-0.399486774,-0.369253325,false,false,false
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=0.01,0.010000000,,16,1.189340376,1.116160133,1.422353150,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399486809,-0.557418276,-0.369253099,1.350634395,-0.399486809,-0.369253099,false,false,false
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1,1.000000000,,16,1.189340629,1.116163838,1.422330836,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399490514,-0.557423446,-0.369230785,1.350613205,-0.399490514,-0.369230785,false,false,false
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=10,10.000000000,,16,1.189363449,1.116215758,1.422150277,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399542434,-0.557495892,-0.369050226,1.350441751,-0.399542434,-0.369050226,false,false,false
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=100,100.000000000,,16,1.190518090,1.117480703,1.421448342,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.400807379,-0.559260916,-0.368348291,1.349775209,-0.400807379,-0.368348291,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1e-05,0.000010000,,16,1.189340380,1.116158656,1.422350131,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399485332,-0.557416216,-0.369250080,1.350631528,-0.399485332,-0.369250080,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.0001,0.000100000,,16,1.189340800,1.116145415,1.422319107,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399472091,-0.557397739,-0.369219056,1.350602068,-0.399472091,-0.369219056,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.001,0.001000000,,16,1.189383089,1.116054065,1.422049298,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399380741,-0.557270276,-0.368949247,1.350345863,-0.399380741,-0.368949247,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.01,0.010000000,,16,1.192952224,1.119570317,1.424575152,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.402896993,-0.562176629,-0.371475101,1.352744357,-0.402896993,-0.371475101,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.1,0.100000000,,16,1.216892928,1.139103004,1.435466403,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.422429680,-0.589431287,-0.382366352,1.363086443,-0.422429680,-0.382366352,false,false,false
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1,1.000000000,,16,1.409519222,1.360703707,1.611991946,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.644030383,-0.898638698,-0.558891894,1.530711107,-0.644030383,-0.558891894,false,false,false
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.2,0.000100000,0.200000000,16,1.189340431,1.116157972,1.422341923,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399484648,-0.557415261,-0.369241871,1.350623733,-0.399484648,-0.369241871,false,false,false
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.5,0.000100000,0.500000000,16,1.189340528,1.116153223,1.422333384,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399479899,-0.557408635,-0.369233332,1.350615625,-0.399479899,-0.369233332,false,false,false
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.0001;l1_ratio=0.8,0.000100000,0.800000000,16,1.189340674,1.116148471,1.422324666,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399475147,-0.557402004,-0.369224614,1.350607346,-0.399475147,-0.369224614,false,false,false
gap_expt_ev,ionicity_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001000000,0.200000000,16,1.189345818,1.116142831,1.422240852,chemistry_descriptors,extra_trees,0.716673324,1.053100051,1.124283576,1.349397394,chemistry_descriptors,extra_trees,0.716673324,1.053100051,-0.399469507,-0.557394135,-0.369140800,1.350527758,-0.399469507,-0.369140800,false,false,false
