target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=1,1.000000000,,test,986,16,1.422330836,0.976072047,0.209319410,1.009089350
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=10,10.000000000,,train,2674,16,1.189363449,0.846079320,0.287988235,0.843807896
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=10,10.000000000,,val,944,16,1.116215758,0.755763214,0.326776803,0.791912406
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=10,10.000000000,,test,986,16,1.422150277,0.975802819,0.209520144,1.008961251
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=100,100.000000000,,train,2674,16,1.190518090,0.848185685,0.286605114,0.844627069
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=100,100.000000000,,val,944,16,1.117480703,0.760870249,0.325250086,0.792809836
gap_expt_ev,ionicity_proxy,ridge,ridge;alpha=100,100.000000000,,test,986,16,1.421448342,0.975418043,0.210300271,1.008463254
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1e-05,0.000010000,,train,2674,16,1.189340380,0.845985111,0.288015855,0.843791529
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1e-05,0.000010000,,val,944,16,1.116158656,0.755083621,0.326845681,0.791871894
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=1e-05,0.000010000,,test,986,16,1.422350131,0.976102120,0.209297957,1.009103039
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.0001,0.000100000,,train,2674,16,1.189340800,0.845982911,0.288015353,0.843791827
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.0001,0.000100000,,val,944,16,1.116145415,0.755146472,0.326861653,0.791862500
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.0001,0.000100000,,test,986,16,1.422319107,0.976058642,0.209332450,1.009081029
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.001,0.001000000,,train,2674,16,1.189383089,0.845986246,0.287964720,0.843821829
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.001,0.001000000,,val,944,16,1.116054065,0.755777820,0.326971833,0.791797691
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.001,0.001000000,,test,986,16,1.422049298,0.975670453,0.209632396,1.008889610
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.01,0.010000000,,train,2674,16,1.192952224,0.850559577,0.283684916,0.846353994
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.01,0.010000000,,val,944,16,1.119570317,0.765695823,0.322724252,0.794292337
gap_expt_ev,ionicity_proxy,lasso,lasso;alpha=0.01,0.010000000,,test,986,16,1.424575152,0.977994575,0.206822189,1.010681607
