split_id,profile,method,role,split,rmse,mae,r2,n_rows
mix_design_hash_1,full_concrete_features,hist_gradient_boosting,admissible,train,2.176,1.341,0.9838,654
mix_design_hash_1,full_concrete_features,hist_gradient_boosting,admissible,val,5.605,3.879,0.8569,200
mix_design_hash_1,full_concrete_features,hist_gradient_boosting,admissible,test,5.111,3.768,0.9114,176
mix_design_hash_1,age_only_control,extra_trees,shortcut_control,train,13.31,10.51,0.3927,654
mix_design_hash_1,age_only_control,extra_trees,shortcut_control,val,11.12,9.104,0.4371,200
mix_design_hash_1,age_only_control,extra_trees,shortcut_control,test,13,10.2,0.4264,176
mix_design_hash_1,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.872,4.311,0.8818,654
mix_design_hash_1,coarse_mix_presence_control,extra_trees,shortcut_control,val,8.458,6.659,0.6741,200
mix_design_hash_1,coarse_mix_presence_control,extra_trees,shortcut_control,test,8.13,6.316,0.7757,176
mix_design_hash_1,mix_design_hash_control,extra_trees,shortcut_control,train,10.15,7.817,0.6471,654
mix_design_hash_1,mix_design_hash_control,extra_trees,shortcut_control,val,11.77,9.43,0.369,200
mix_design_hash_1,mix_design_hash_control,extra_trees,shortcut_control,test,14.51,11.58,0.2857,176
mix_design_hash_1,row_order_control,extra_trees,shortcut_control,train,9.431,7.553,0.6951,654
mix_design_hash_1,row_order_control,extra_trees,shortcut_control,val,12.82,10.56,0.2513,200
mix_design_hash_1,row_order_control,extra_trees,shortcut_control,test,14.24,11.12,0.3114,176
mix_design_hash_2,train_mean,mean,mean_baseline,train,16.4,13.24,0,647
mix_design_hash_2,train_mean,mean,mean_baseline,val,18.77,15.65,-0.001322,216
mix_design_hash_2,train_mean,mean,mean_baseline,test,14.94,11.66,-0.02482,167
mix_design_hash_2,raw_mix_age,extra_trees,admissible,train,2.119,1.431,0.9833,647
mix_design_hash_2,raw_mix_age,extra_trees,admissible,val,5.462,4.016,0.9152,216
mix_design_hash_2,raw_mix_age,extra_trees,admissible,test,6.125,4.149,0.8278,167
mix_design_hash_2,raw_mix_age,hist_gradient_boosting,admissible,train,2.269,1.61,0.9809,647
mix_design_hash_2,raw_mix_age,hist_gradient_boosting,admissible,val,4.797,3.34,0.9346,216
mix_design_hash_2,raw_mix_age,hist_gradient_boosting,admissible,test,6.139,4.292,0.827,167
mix_design_hash_2,binder_ratio_age_core,extra_trees,admissible,train,2.173,1.483,0.9824,647
mix_design_hash_2,binder_ratio_age_core,extra_trees,admissible,val,5.404,3.833,0.917,216
mix_design_hash_2,binder_ratio_age_core,extra_trees,admissible,test,5.537,3.671,0.8593,167
mix_design_hash_2,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.458,1.757,0.9775,647
mix_design_hash_2,binder_ratio_age_core,hist_gradient_boosting,admissible,val,5.524,4.111,0.9132,216
mix_design_hash_2,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.712,3.818,0.8502,167
mix_design_hash_2,full_concrete_features,extra_trees,admissible,train,1.645,1.083,0.9899,647
mix_design_hash_2,full_concrete_features,extra_trees,admissible,val,5.125,3.675,0.9253,216
mix_design_hash_2,full_concrete_features,extra_trees,admissible,test,5.399,3.533,0.8662,167
mix_design_hash_2,full_concrete_features,hist_gradient_boosting,admissible,train,1.883,1.342,0.9868,647
mix_design_hash_2,full_concrete_features,hist_gradient_boosting,admissible,val,4.961,3.64,0.93,216
mix_design_hash_2,full_concrete_features,hist_gradient_boosting,admissible,test,5.372,3.525,0.8675,167
mix_design_hash_2,age_only_control,extra_trees,shortcut_control,train,12.64,10.03,0.4061,647
mix_design_hash_2,age_only_control,extra_trees,shortcut_control,val,14.71,12.47,0.3846,216
mix_design_hash_2,age_only_control,extra_trees,shortcut_control,test,11.35,8.606,0.4082,167
mix_design_hash_2,coarse_mix_presence_control,extra_trees,shortcut_control,train,5.971,4.393,0.8675,647
mix_design_hash_2,coarse_mix_presence_control,extra_trees,shortcut_control,val,8.339,6.664,0.8023,216
mix_design_hash_2,coarse_mix_presence_control,extra_trees,shortcut_control,test,7.997,6.41,0.7064,167
mix_design_hash_2,mix_design_hash_control,extra_trees,shortcut_control,train,10.16,7.903,0.6165,647
mix_design_hash_2,mix_design_hash_control,extra_trees,shortcut_control,val,15.3,12.97,0.334,216
mix_design_hash_2,mix_design_hash_control,extra_trees,shortcut_control,test,12.1,9.011,0.3274,167
mix_design_hash_2,row_order_control,extra_trees,shortcut_control,train,9.846,7.837,0.6398,647
mix_design_hash_2,row_order_control,extra_trees,shortcut_control,val,12.27,9.832,0.5717,216
mix_design_hash_2,row_order_control,extra_trees,shortcut_control,test,13.18,10.66,0.2021,167
mix_design_hash_3,train_mean,mean,mean_baseline,train,17,13.47,0,612
mix_design_hash_3,train_mean,mean,mean_baseline,val,16.19,13.37,-0.0004932,179
mix_design_hash_3,train_mean,mean,mean_baseline,test,16.28,13.56,-0.004357,239
mix_design_hash_3,raw_mix_age,extra_trees,admissible,train,2.318,1.363,0.9814,612
mix_design_hash_3,raw_mix_age,extra_trees,admissible,val,5.955,4.499,0.8647,179
mix_design_hash_3,raw_mix_age,extra_trees,admissible,test,5.943,4.47,0.8661,239
mix_design_hash_3,raw_mix_age,hist_gradient_boosting,admissible,train,2.533,1.592,0.9778,612
mix_design_hash_3,raw_mix_age,hist_gradient_boosting,admissible,val,6.54,4.836,0.8368,179
mix_design_hash_3,raw_mix_age,hist_gradient_boosting,admissible,test,6.536,4.67,0.838,239
mix_design_hash_3,binder_ratio_age_core,extra_trees,admissible,train,2.495,1.492,0.9785,612
mix_design_hash_3,binder_ratio_age_core,extra_trees,admissible,val,6.094,4.443,0.8583,179
mix_design_hash_3,binder_ratio_age_core,extra_trees,admissible,test,5.366,3.979,0.8908,239
mix_design_hash_3,binder_ratio_age_core,hist_gradient_boosting,admissible,train,2.841,1.849,0.9721,612
mix_design_hash_3,binder_ratio_age_core,hist_gradient_boosting,admissible,val,6.379,4.922,0.8448,179
mix_design_hash_3,binder_ratio_age_core,hist_gradient_boosting,admissible,test,5.171,3.876,0.8986,239
mix_design_hash_3,full_concrete_features,extra_trees,admissible,train,1.901,1.049,0.9875,612
mix_design_hash_3,full_concrete_features,extra_trees,admissible,val,5.724,4.151,0.875,179
mix_design_hash_3,full_concrete_features,extra_trees,admissible,test,5.331,3.925,0.8923,239
mix_design_hash_3,full_concrete_features,hist_gradient_boosting,admissible,train,2.33,1.376,0.9812,612
