target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,train,244,9,180.091190665,132.830474609,0.484132346,0.718239274
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,val,32,9,422.514462481,346.535267579,0.229145780,1.685071210
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.010000000,0.500000000,test,36,9,332.560806186,282.821286793,0.186595830,1.326318245
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,train,244,9,180.079269121,132.769325944,0.484200642,0.718191728
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,val,32,9,422.674529658,346.782996217,0.228561602,1.685709590
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.010000000,0.800000000,test,36,9,333.551541125,284.456188266,0.181742171,1.330269491
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,train,244,9,182.321794291,135.588712470,0.471274165,0.727135362
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,val,32,9,422.162385375,341.855707275,0.230429936,1.683667057
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.100000000,0.200000000,test,36,9,318.532386293,252.443880576,0.253772145,1.270370133
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,train,244,9,181.135761827,134.290596845,0.478130684,0.722405230
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,val,32,9,421.599189771,343.351177209,0.232481892,1.681420922
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.100000000,0.500000000,test,36,9,322.146499050,261.965428981,0.236742469,1.284783929
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,train,244,9,180.291001550,133.210478658,0.482987002,0.719036159
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,val,32,9,421.794205269,345.247268750,0.231771679,1.682198682
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.100000000,0.800000000,test,36,9,328.078063407,274.860872932,0.208376549,1.308440180
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,train,244,9,206.734746748,161.279987258,0.320201328,0.824499043
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,val,32,9,450.983894644,357.442865866,0.121764150,1.798612934
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1.000000000,0.200000000,test,36,9,322.095951979,210.091902931,0.236981972,1.284582337
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,train,244,9,199.400810948,154.043492047,0.367577665,0.795249857
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,val,32,9,441.109846631,349.345056046,0.159800149,1.759233279
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1.000000000,0.500000000,test,36,9,317.407280362,215.085676893,0.259034421,1.265882988
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,train,244,9,188.259846681,141.670194449,0.436273098,0.750817489
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,val,32,9,427.012043399,339.561363441,0.212647259,1.703008452
yield_strength_mpa,minor_element_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1.000000000,0.800000000,test,36,9,313.395166860,230.451052109,0.277648041,1.249881886
yield_strength_mpa,minor_element_linear,huber,huber;alpha=1e-05,0.000010000,,train,244,9,184.236612545,126.231072845,0.460110056,0.734772036
yield_strength_mpa,minor_element_linear,huber,huber;alpha=1e-05,0.000010000,,val,32,9,451.856890912,358.552630382,0.118360753,1.802094616
yield_strength_mpa,minor_element_linear,huber,huber;alpha=1e-05,0.000010000,,test,36,9,325.300665087,269.670664309,0.221723050,1.297363367
