target,selected_low_capacity,profile,model,model_label,alpha,l1_ratio,feature,coefficient_standardized,coefficient_raw_scale,abs_coefficient_standardized,coefficient_rank,intercept_raw_scale
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_Nb,-23.226759718,-44137.421637675,23.226759718,4,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_W,-13.073805528,-4061.800179726,13.073805528,5,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_Al,95.602635606,18691.941085412,95.602635606,3,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=1e-05,0.000010000,,frac_Ti,150.528164500,25907.371538975,150.528164500,2,1093.566930227
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_C,180.739000282,34001.112315136,180.739000282,1,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_Mn,-7.944225231,-3292.111116505,7.944225231,8,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_Si,11.925560225,954.948275847,11.925560225,7,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_V,12.408219828,3491.386390527,12.408219828,6,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_N,-1.923889019,-2349.109682156,1.923889019,9,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_Nb,-23.226604327,-44137.126350205,23.226604327,4,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_W,-13.073699897,-4061.767361830,13.073699897,5,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_Al,95.602397907,18691.894611252,95.602397907,3,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.0001,0.000100000,,frac_Ti,150.527974231,25907.338791865,150.527974231,2,1093.567502980
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_C,180.735871893,34000.523793961,180.735871893,1,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_Mn,-7.944163251,-3292.085431596,7.944163251,8,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_Si,11.923745133,954.802930991,11.923745133,7,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_V,12.407642256,3491.223874974,12.407642256,6,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_N,-1.923556351,-2348.703487094,1.923556351,9,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_Nb,-23.225050304,-44134.173266842,23.225050304,4,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_W,-13.072643529,-4061.439166987,13.072643529,5,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_Al,95.600020032,18691.429696111,95.600020032,3,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.001,0.001000000,,frac_Ti,150.526070551,25907.011149921,150.526070551,2,1093.573233787
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_C,180.704564007,33994.634069380,180.704564007,1,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_Mn,-7.943545687,-3291.829511061,7.943545687,8,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_Si,11.905589093,953.349072313,11.905589093,7,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_V,12.401875209,3489.601161304,12.401875209,6,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_N,-1.920235095,-2344.648162576,1.920235095,9,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_Nb,-23.209508908,-44104.640212069,23.209508908,4,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_W,-13.062079305,-4058.157049489,13.062079305,5,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_Al,95.576231826,18686.778697380,95.576231826,3,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.01,0.010000000,,frac_Ti,150.507023187,25903.732911898,150.507023187,2,1093.630576822
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_C,180.393196366,33936.058741793,180.393196366,1,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_Mn,-7.937210205,-3289.204068431,7.937210205,8,1094.201513528
yield_strength_mpa,false,minor_element_linear,lasso,lasso;alpha=0.1,0.100000000,,frac_Si,11.724394041,938.839741122,11.724394041,7,1094.201513528
