target,feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_mp_mean_std,source_all_no_layer,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_mean_std,source_all_no_layer,extra_trees,model:extra_trees:fit=train,val,12,0.536081,0.409305,0.175501,0.332689,1.015296,0.536081
target_mp_mean_std,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,0.673526,0.523414,0.224174,0.339675,1.194997,0.673526
target_mp_mean_std,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,0.434317,0.351651,0.150934,0.206838,0.847130,0.434317
target_mp_mean_std,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,0.466135,0.321454,0.152602,0.289281,0.960302,0.466135
target_mp_q90_mean,mean_guard,mean,constant:mean:fit=train,test,12,1.392768,0.972222,0.123206,0.313373,2.878997,1.392768
target_mp_q90_mean,mean_guard,mean,constant:mean:fit=train,train,39,1.368453,1.099423,0.127016,0.273691,2.547756,1.368453
target_mp_q90_mean,mean_guard,mean,constant:mean:fit=train,val,12,1.755627,1.292972,0.159985,0.272425,3.148622,1.755627
target_mp_q90_mean,layer_time_only,knn,model:knn:fit=train,test,12,1.344688,1.049383,0.118953,0.302555,2.557031,1.344688
target_mp_q90_mean,layer_time_only,knn,model:knn:fit=train,train,39,1.156527,0.902184,0.107346,0.231305,2.189027,1.156527
target_mp_q90_mean,layer_time_only,knn,model:knn:fit=train,val,12,1.819941,1.515432,0.165846,0.282405,2.548433,1.819941
target_mp_q90_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,test,12,1.768386,1.450741,0.156434,0.397887,3.310068,1.768386
target_mp_q90_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_q90_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,val,12,2.105472,1.678518,0.191865,0.326711,3.205875,2.105472
target_mp_q90_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,1.392768,0.972222,0.123206,0.313373,2.878997,1.392768
target_mp_q90_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.368453,1.099423,0.127016,0.273691,2.547756,1.368453
target_mp_q90_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.755627,1.292972,0.159985,0.272425,3.148622,1.755627
target_mp_q90_mean,source_geometry,knn,model:knn:fit=train,test,12,1.500191,1.253087,0.132709,0.337543,2.050461,1.500191
target_mp_q90_mean,source_geometry,knn,model:knn:fit=train,train,39,1.031033,0.853751,0.095698,0.206207,1.576251,1.031033
target_mp_q90_mean,source_geometry,knn,model:knn:fit=train,val,12,1.461908,1.191358,0.133219,0.226848,2.420902,1.461908
target_mp_q90_mean,source_geometry,extra_trees,model:extra_trees:fit=train,test,12,1.564160,1.160926,0.138368,0.351936,3.017311,1.564160
target_mp_q90_mean,source_geometry,extra_trees,model:extra_trees:fit=train,train,39,0.008192,0.002279,0.000760,0.001638,0.018889,0.008192
target_mp_q90_mean,source_geometry,extra_trees,model:extra_trees:fit=train,val,12,1.600013,1.353148,0.145805,0.248278,2.525299,1.600013
target_mp_q90_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,1.392768,0.972222,0.123206,0.313373,2.878997,1.392768
target_mp_q90_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.368453,1.099423,0.127016,0.273691,2.547756,1.368453
target_mp_q90_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.755627,1.292972,0.159985,0.272425,3.148622,1.755627
target_mp_q90_mean,source_power_path,knn,model:knn:fit=train,test,12,1.165883,0.848766,0.103135,0.262324,1.816326,1.165883
target_mp_q90_mean,source_power_path,knn,model:knn:fit=train,train,39,1.122418,0.902184,0.104180,0.224484,1.863666,1.122418
target_mp_q90_mean,source_power_path,knn,model:knn:fit=train,val,12,1.815948,1.512346,0.165482,0.281785,2.964814,1.815948
target_mp_q90_mean,source_power_path,extra_trees,model:extra_trees:fit=train,test,12,1.188224,0.952963,0.105112,0.267350,2.112026,1.188224
target_mp_q90_mean,source_power_path,extra_trees,model:extra_trees:fit=train,train,39,0.007045,0.001595,0.000654,0.001409,0.000000,0.007045
target_mp_q90_mean,source_power_path,extra_trees,model:extra_trees:fit=train,val,12,1.719293,1.482222,0.156674,0.266787,2.602825,1.719293
target_mp_q90_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,1.392768,0.972222,0.123206,0.313373,2.878997,1.392768
target_mp_q90_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.368453,1.099423,0.127016,0.273691,2.547756,1.368453
target_mp_q90_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.755627,1.292972,0.159985,0.272425,3.148622,1.755627
target_mp_q90_mean,source_all_no_layer,knn,model:knn:fit=train,test,12,1.276435,0.966049,0.112915,0.287198,1.816326,1.276435
target_mp_q90_mean,source_all_no_layer,knn,model:knn:fit=train,train,39,1.074500,0.882241,0.099732,0.214900,1.726101,1.074500
target_mp_q90_mean,source_all_no_layer,knn,model:knn:fit=train,val,12,1.793112,1.410494,0.163401,0.278241,2.703957,1.793112
target_mp_q90_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,test,12,1.453020,1.155000,0.128536,0.326930,2.442528,1.453020
target_mp_q90_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_q90_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,val,12,1.561157,1.251296,0.142264,0.242249,2.576280,1.561157
target_mp_q90_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,1.392768,0.972222,0.123206,0.313373,2.878997,1.392768
target_mp_q90_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,1.368453,1.099423,0.127016,0.273691,2.547756,1.368453
target_mp_q90_mean,source_all_no_layer,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,1.755627,1.292972,0.159985,0.272425,3.148622,1.755627
target_mp_max_mean,mean_guard,mean,constant:mean:fit=train,test,12,18.348908,17.042023,0.083612,0.336334,16.250712,18.348908
target_mp_max_mean,mean_guard,mean,constant:mean:fit=train,train,39,24.345731,20.555044,0.114340,0.309480,16.250712,24.345731
target_mp_max_mean,mean_guard,mean,constant:mean:fit=train,val,12,29.418688,23.037037,0.142316,0.349760,16.250712,29.418688
target_mp_max_mean,layer_time_only,knn,model:knn:fit=train,test,12,15.205944,12.570988,0.069290,0.278724,12.476911,15.205944
target_mp_max_mean,layer_time_only,knn,model:knn:fit=train,train,39,21.564101,17.067426,0.101276,0.274120,15.684123,21.564101
target_mp_max_mean,layer_time_only,knn,model:knn:fit=train,val,12,30.410853,23.867284,0.147116,0.361556,22.954760,30.410853
target_mp_max_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,test,12,23.065029,16.532963,0.105102,0.422781,21.537948,23.065029
target_mp_max_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_mean,layer_time_only,extra_trees,model:extra_trees:fit=train,val,12,34.674167,25.830741,0.167740,0.412242,27.293994,34.674167
target_mp_max_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,18.348908,17.042023,0.083612,0.336334,16.250712,18.348908
target_mp_max_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,24.345731,20.555044,0.114340,0.309480,16.250712,24.345731
target_mp_max_mean,layer_time_only,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,29.418688,23.037037,0.142316,0.349760,16.250712,29.418688
target_mp_max_mean,source_geometry,knn,model:knn:fit=train,test,12,27.271454,21.416667,0.124270,0.499884,23.514902,27.271454
target_mp_max_mean,source_geometry,knn,model:knn:fit=train,train,39,17.532284,12.103514,0.082341,0.222868,12.587202,17.532284
target_mp_max_mean,source_geometry,knn,model:knn:fit=train,val,12,25.891172,21.129630,0.125252,0.307821,17.859604,25.891172
target_mp_max_mean,source_geometry,extra_trees,model:extra_trees:fit=train,test,12,28.193673,21.985926,0.128473,0.516788,15.709156,28.193673
target_mp_max_mean,source_geometry,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_mean,source_geometry,extra_trees,model:extra_trees:fit=train,val,12,35.712858,28.651852,0.172765,0.424591,31.902271,35.712858
target_mp_max_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,18.348908,17.042023,0.083612,0.336334,16.250712,18.348908
target_mp_max_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,24.345731,20.555044,0.114340,0.309480,16.250712,24.345731
target_mp_max_mean,source_geometry,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,29.418688,23.037037,0.142316,0.349760,16.250712,29.418688
target_mp_max_mean,source_power_path,knn,model:knn:fit=train,test,12,21.058932,16.996914,0.095961,0.386009,20.014335,21.058932
target_mp_max_mean,source_power_path,knn,model:knn:fit=train,train,39,20.144162,14.324786,0.094608,0.256070,13.760157,20.144162
target_mp_max_mean,source_power_path,knn,model:knn:fit=train,val,12,33.434538,27.765432,0.161744,0.397504,20.711858,33.434538
target_mp_max_mean,source_power_path,extra_trees,model:extra_trees:fit=train,test,12,24.470357,17.040000,0.111506,0.448540,12.336059,24.470357
target_mp_max_mean,source_power_path,extra_trees,model:extra_trees:fit=train,train,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_mp_max_mean,source_power_path,extra_trees,model:extra_trees:fit=train,val,12,34.226986,28.258519,0.165577,0.406926,27.557456,34.226986
target_mp_max_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,12,18.348908,17.042023,0.083612,0.336334,16.250712,18.348908
target_mp_max_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,39,24.345731,20.555044,0.114340,0.309480,16.250712,24.345731
target_mp_max_mean,source_power_path,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,12,29.418688,23.037037,0.142316,0.349760,16.250712,29.418688
target_mp_max_mean,source_all_no_layer,knn,model:knn:fit=train,test,12,26.451598,21.722222,0.120534,0.484856,22.914719,26.451598
target_mp_max_mean,source_all_no_layer,knn,model:knn:fit=train,train,39,18.438730,13.021842,0.086598,0.234391,12.860963,18.438730
target_mp_max_mean,source_all_no_layer,knn,model:knn:fit=train,val,12,30.432466,24.126543,0.147221,0.361813,17.808939,30.432466
target_mp_max_mean,source_all_no_layer,extra_trees,model:extra_trees:fit=train,test,12,29.435938,22.832222,0.134133,0.539559,17.592862,29.435938
