target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_hot_fraction_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.005084,0.004358,0.046840,0.282959,0.006508,0.005084
target_top_half_mean,mean,constant:mean:fit=train,test,26,1.417749,1.080249,0.012056,0.451292,3.089512,1.417749
target_top_half_mean,mean,constant:mean:fit=train,train,76,4.565061,1.907119,0.039149,0.109047,5.492469,4.565061
target_top_half_mean,mean,constant:mean:fit=train,val,26,1.067997,0.819889,0.009127,0.226969,2.205756,1.067997
target_top_half_mean,knn,model:knn:fit=train,test,26,7.460271,4.966679,0.063437,2.374721,14.943219,7.460271
target_top_half_mean,knn,model:knn:fit=train,train,76,3.464627,1.286567,0.029712,0.082761,2.282196,3.464627
target_top_half_mean,knn,model:knn:fit=train,val,26,5.658617,3.352269,0.048360,1.202561,11.644848,5.658617
target_top_half_mean,extra_trees,model:extra_trees:fit=train,test,26,13.110263,9.439018,0.111481,4.173202,22.872447,13.110263
target_top_half_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_top_half_mean,extra_trees,model:extra_trees:fit=train,val,26,11.807567,8.357729,0.100911,2.509327,19.695798,11.807567
target_top_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.243404,3.033584,0.027580,1.032426,5.148731,3.243404
target_top_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.691345,1.348485,0.031657,0.088176,2.622378,3.691345
target_top_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.928759,2.659746,0.025030,0.622416,4.549871,2.928759
target_bottom_half_mean,mean,constant:mean:fit=train,test,26,1.037455,0.838612,0.010035,0.500664,0.273981,1.037455
target_bottom_half_mean,mean,constant:mean:fit=train,train,76,2.579794,1.745967,0.024758,0.136206,4.680393,2.579794
target_bottom_half_mean,mean,constant:mean:fit=train,val,26,1.014427,0.861509,0.009809,0.463111,0.340804,1.014427
target_bottom_half_mean,knn,model:knn:fit=train,test,26,2.893998,2.145517,0.027994,1.396609,5.340664,2.893998
target_bottom_half_mean,knn,model:knn:fit=train,train,76,1.560164,0.836164,0.014973,0.082372,2.431900,1.560164
target_bottom_half_mean,knn,model:knn:fit=train,val,26,2.448470,1.626206,0.023676,1.117786,4.624439,2.448470
target_bottom_half_mean,extra_trees,model:extra_trees:fit=train,test,26,5.375258,4.775732,0.051995,2.594036,7.765539,5.375258
target_bottom_half_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_bottom_half_mean,extra_trees,model:extra_trees:fit=train,val,26,4.884984,4.227024,0.047237,2.230114,7.443757,4.884984
target_bottom_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.852747,0.676835,0.008249,0.411525,1.547665,0.852747
target_bottom_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.739177,0.752139,0.016691,0.091823,2.883485,1.739177
target_bottom_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.065016,0.847092,0.010299,0.486206,1.905903,1.065016
target_left_half_mean,mean,constant:mean:fit=train,test,26,2.288002,2.073753,0.021261,0.363048,4.281544,2.288002
target_left_half_mean,mean,constant:mean:fit=train,train,76,5.227639,2.825547,0.048826,0.114877,7.443953,5.227639
target_left_half_mean,mean,constant:mean:fit=train,val,26,1.970630,1.819320,0.018393,0.286761,3.465458,1.970630
target_left_half_mean,knn,model:knn:fit=train,test,26,8.060896,5.246249,0.074904,1.279059,16.057880,8.060896
target_left_half_mean,knn,model:knn:fit=train,train,76,3.703551,1.500148,0.034591,0.081385,2.734611,3.703551
target_left_half_mean,knn,model:knn:fit=train,val,26,6.364858,3.800952,0.059407,0.926197,12.943346,6.364858
target_left_half_mean,extra_trees,model:extra_trees:fit=train,test,26,12.556984,9.083177,0.116683,1.992474,22.238775,12.556984
target_left_half_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_left_half_mean,extra_trees,model:extra_trees:fit=train,val,26,11.939349,8.511590,0.111436,1.737383,21.406612,11.939349
target_left_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.611901,3.200813,0.033563,0.573117,6.417078,3.611901
target_left_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.873846,1.528711,0.036181,0.085127,2.761951,3.873846
target_left_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.330524,2.822069,0.031086,0.484649,6.038201,3.330524
target_right_half_mean,mean,constant:mean:fit=train,test,26,0.924044,0.815570,0.008150,0.409518,0.554061,0.924044
target_right_half_mean,mean,constant:mean:fit=train,train,76,2.219449,1.489438,0.019509,0.115214,3.780183,2.219449
target_right_half_mean,mean,constant:mean:fit=train,val,26,1.073832,0.900548,0.009478,0.330548,0.638012,1.073832
target_right_half_mean,knn,model:knn:fit=train,test,26,2.345249,1.822069,0.020684,1.039369,1.093277,2.345249
target_right_half_mean,knn,model:knn:fit=train,train,76,1.311507,0.691970,0.011528,0.068082,1.821635,1.311507
target_right_half_mean,knn,model:knn:fit=train,val,26,1.858125,1.307149,0.016400,0.571970,1.168547,1.858125
target_right_half_mean,extra_trees,model:extra_trees:fit=train,test,26,3.956509,3.273340,0.034895,1.753448,1.294920,3.956509
target_right_half_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_right_half_mean,extra_trees,model:extra_trees:fit=train,val,26,3.704934,3.014439,0.032700,1.140457,1.815484,3.704934
target_right_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.842201,0.609317,0.007428,0.373247,0.037791,0.842201
target_right_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.472840,0.681565,0.012946,0.076457,2.519584,1.472840
target_right_half_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.771698,0.544976,0.006811,0.237545,0.180822,0.771698
target_vertical_contrast,mean,constant:mean:fit=train,test,26,2.006652,1.870603,0.140942,0.607176,3.243004,2.006652
target_vertical_contrast,mean,constant:mean:fit=train,train,76,2.705289,1.170712,0.214007,0.108767,2.178496,2.705289
target_vertical_contrast,mean,constant:mean:fit=train,val,26,1.465468,1.320018,0.107626,0.462225,2.360890,1.465468
target_vertical_contrast,knn,model:knn:fit=train,test,26,5.038555,3.915381,0.353895,1.524573,10.076427,5.038555
target_vertical_contrast,knn,model:knn:fit=train,train,76,2.360052,1.043200,0.186696,0.094886,3.581060,2.360052
target_vertical_contrast,knn,model:knn:fit=train,val,26,3.537851,2.502839,0.259826,1.115878,7.270292,3.537851
target_vertical_contrast,extra_trees,model:extra_trees:fit=train,test,26,8.193864,6.797597,0.575516,2.479311,13.266279,8.193864
target_vertical_contrast,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_vertical_contrast,extra_trees,model:extra_trees:fit=train,val,26,7.227402,5.816749,0.530792,2.279604,12.462945,7.227402
target_vertical_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.430515,2.301704,0.170713,0.735429,3.838542,2.430515
target_vertical_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.265739,0.940917,0.179235,0.091094,1.917102,2.265739
target_vertical_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.101005,1.821761,0.154301,0.662681,3.258278,2.101005
target_horizontal_contrast,mean,constant:mean:fit=train,test,26,3.167273,2.889323,0.485868,0.390298,5.596994,3.167273
target_horizontal_contrast,mean,constant:mean:fit=train,train,76,4.103252,2.951189,0.516317,0.130593,5.566890,4.103252
target_horizontal_contrast,mean,constant:mean:fit=train,val,26,2.807353,2.564176,0.415836,0.332961,4.940037,2.807353
target_horizontal_contrast,knn,model:knn:fit=train,test,26,6.187226,4.522650,0.949136,0.762442,12.097421,6.187226
target_horizontal_contrast,knn,model:knn:fit=train,train,76,2.750820,1.316161,0.346139,0.087550,1.823878,2.750820
target_horizontal_contrast,knn,model:knn:fit=train,val,26,4.941109,3.395086,0.731896,0.586030,9.880594,4.941109
target_horizontal_contrast,extra_trees,model:extra_trees:fit=train,test,26,8.792798,7.339646,1.348837,1.083523,15.961947,8.792798
target_horizontal_contrast,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_horizontal_contrast,extra_trees,model:extra_trees:fit=train,val,26,8.002737,6.462927,1.185396,0.949149,14.846038,8.002737
target_horizontal_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.025610,2.576907,0.464136,0.372841,5.857248,3.025610
target_horizontal_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.744601,1.138467,0.345356,0.087352,1.918320,2.744601
target_horizontal_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.783770,2.339575,0.412343,0.330164,5.419855,2.783770
target_quadrant_contrast,mean,constant:mean:fit=train,test,26,2.918145,2.769051,0.143538,0.406933,3.766395,2.918145
target_quadrant_contrast,mean,constant:mean:fit=train,train,76,3.895692,3.122734,0.196598,0.144046,7.912823,3.895692
target_quadrant_contrast,mean,constant:mean:fit=train,val,26,2.947129,2.814892,0.147246,0.365291,3.517393,2.947129
target_quadrant_contrast,knn,model:knn:fit=train,test,26,4.223667,2.603119,0.207755,0.588987,1.612305,4.223667
target_quadrant_contrast,knn,model:knn:fit=train,train,76,2.373611,1.269556,0.119786,0.087766,5.284221,2.373611
target_quadrant_contrast,knn,model:knn:fit=train,val,26,3.975192,2.270138,0.198610,0.492717,0.349449,3.975192
target_quadrant_contrast,extra_trees,model:extra_trees:fit=train,test,26,6.101390,3.983766,0.300117,0.850834,0.334205,6.101390
target_quadrant_contrast,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_quadrant_contrast,extra_trees,model:extra_trees:fit=train,val,26,6.592106,4.266520,0.329357,0.817078,0.146344,6.592106
target_quadrant_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.199239,0.790767,0.058988,0.167233,0.576088,1.199239
target_quadrant_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.455959,1.040996,0.123941,0.090811,6.764652,2.455959
target_quadrant_contrast,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.717069,1.297009,0.085789,0.212827,0.172755,1.717069
target_grid_max_mean,mean,constant:mean:fit=train,test,26,3.542465,2.625795,0.025722,0.251843,7.125216,3.542465
target_grid_max_mean,mean,constant:mean:fit=train,train,76,4.983593,3.210309,0.036155,0.118654,9.743015,4.983593
target_grid_max_mean,mean,constant:mean:fit=train,val,26,2.971366,2.242170,0.021741,0.258879,3.548881,2.971366
target_grid_max_mean,knn,model:knn:fit=train,test,26,6.898530,4.936498,0.050091,0.490434,15.675323,6.898530
target_grid_max_mean,knn,model:knn:fit=train,train,76,3.484997,1.968755,0.025283,0.082974,6.016658,3.484997
target_grid_max_mean,knn,model:knn:fit=train,val,26,4.948319,3.466322,0.036206,0.431119,10.412523,4.948319
target_grid_max_mean,extra_trees,model:extra_trees:fit=train,test,26,8.962099,6.537553,0.065075,0.637138,20.459922,8.962099
target_grid_max_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_grid_max_mean,extra_trees,model:extra_trees:fit=train,val,26,7.243427,4.951447,0.052999,0.631079,15.450296,7.243427
target_grid_max_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,4.043057,2.091573,0.029357,0.287431,10.922383,4.043057
target_grid_max_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.610461,1.792654,0.026193,0.085961,7.692085,3.610461
target_grid_max_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.500625,1.336039,0.018297,0.217866,6.664116,2.500625
target_grid_min_mean,mean,constant:mean:fit=train,test,26,1.321006,1.295916,0.017016,0.422904,1.672288,1.321006
target_grid_min_mean,mean,constant:mean:fit=train,train,76,3.729556,1.689220,0.048106,0.111320,4.378904,3.729556
target_grid_min_mean,mean,constant:mean:fit=train,val,26,1.280491,1.205419,0.016506,0.381802,1.657740,1.280491
target_grid_min_mean,knn,model:knn:fit=train,test,26,5.739430,3.491028,0.073932,1.837408,11.036345,5.739430
target_grid_min_mean,knn,model:knn:fit=train,train,76,2.741651,0.972625,0.035363,0.081833,1.866423,2.741651
target_grid_min_mean,knn,model:knn:fit=train,val,26,4.753234,2.654224,0.061271,1.417262,9.062031,4.753234
target_grid_min_mean,extra_trees,model:extra_trees:fit=train,test,26,10.056026,6.538574,0.129536,3.219314,14.864963,10.056026
target_grid_min_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_grid_min_mean,extra_trees,model:extra_trees:fit=train,val,26,9.417662,6.184357,0.121397,2.808045,16.781937,9.417662
target_grid_min_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.917248,1.579294,0.024697,0.613784,2.889513,1.917248
target_grid_min_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.927218,1.054984,0.037757,0.087371,1.900092,2.927218
target_grid_min_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.308714,1.934499,0.029760,0.688385,3.721919,2.308714
target_grid_mean_range,mean,constant:mean:fit=train,test,26,3.969936,3.440111,0.065964,0.287833,5.588487,3.969936
target_grid_mean_range,mean,constant:mean:fit=train,train,76,4.061483,3.077244,0.067190,0.150831,8.683258,4.061483
target_grid_mean_range,mean,constant:mean:fit=train,val,26,3.763895,3.173060,0.063598,0.329781,2.828052,3.763895
target_grid_mean_range,knn,model:knn:fit=train,test,26,4.073842,3.341260,0.067690,0.295367,4.814040,4.073842
target_grid_mean_range,knn,model:knn:fit=train,train,76,2.790506,1.782807,0.046164,0.103631,6.341504,2.790506
target_grid_mean_range,knn,model:knn:fit=train,val,26,3.620094,2.678859,0.061168,0.317181,3.803261,3.620094
target_grid_mean_range,extra_trees,model:extra_trees:fit=train,test,26,6.044971,5.274631,0.100442,0.438280,6.772810,6.044971
target_grid_mean_range,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_grid_mean_range,extra_trees,model:extra_trees:fit=train,val,26,6.512352,5.397245,0.110039,0.570592,6.354959,6.512352
target_grid_mean_range,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,3.187148,2.290014,0.052957,0.231078,7.264022,3.187148
target_grid_mean_range,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.948414,2.048626,0.048776,0.109495,7.349327,2.948414
target_grid_mean_range,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.872929,2.415962,0.048544,0.251717,2.466746,2.872929
target_local_variance_mean,mean,constant:mean:fit=train,test,26,30.497149,29.499939,0.508980,0.432876,29.056656,30.497149
target_local_variance_mean,mean,constant:mean:fit=train,train,76,32.910995,32.718500,0.488822,0.404386,39.537315,32.910995
target_local_variance_mean,mean,constant:mean:fit=train,val,26,31.318544,30.757882,0.500195,0.419492,33.529434,31.318544
target_local_variance_mean,knn,model:knn:fit=train,test,26,9.696614,7.288504,0.161831,0.137634,4.054450,9.696614
target_local_variance_mean,knn,model:knn:fit=train,train,76,9.892266,5.375272,0.146928,0.121549,9.808672,9.892266
target_local_variance_mean,knn,model:knn:fit=train,val,26,9.213176,6.132495,0.147145,0.123405,3.133075,9.213176
target_local_variance_mean,extra_trees,model:extra_trees:fit=train,test,26,6.951341,6.116710,0.116014,0.098667,4.109583,6.951341
target_local_variance_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_local_variance_mean,extra_trees,model:extra_trees:fit=train,val,26,4.572187,3.771587,0.073023,0.061242,3.392785,4.572187
target_local_variance_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,7.488160,6.083821,0.124973,0.106287,3.706839,7.488160
target_local_variance_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,3.166739,2.246362,0.047035,0.038911,6.649822,3.166739
target_local_variance_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,5.238540,3.989940,0.083666,0.070167,2.944056,5.238540
target_gradient_mean,mean,constant:mean:fit=train,test,26,1.088842,1.043731,0.133831,0.471929,0.914918,1.088842
target_gradient_mean,mean,constant:mean:fit=train,train,76,1.137222,1.112889,0.134777,0.374296,1.570148,1.137222
target_gradient_mean,mean,constant:mean:fit=train,val,26,1.096638,1.065030,0.133784,0.441795,1.032880,1.096638
target_gradient_mean,knn,model:knn:fit=train,test,26,0.367902,0.280571,0.045219,0.159457,0.143475,0.367902
target_gradient_mean,knn,model:knn:fit=train,train,76,0.359723,0.217239,0.042632,0.118396,0.489093,0.359723
target_gradient_mean,knn,model:knn:fit=train,val,26,0.327732,0.228126,0.039981,0.132031,0.327992,0.327732
target_gradient_mean,extra_trees,model:extra_trees:fit=train,test,26,0.243509,0.218744,0.029930,0.105542,0.239846,0.243509
target_gradient_mean,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_gradient_mean,extra_trees,model:extra_trees:fit=train,val,26,0.256951,0.231822,0.031347,0.103516,0.319284,0.256951
target_gradient_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.218075,0.187101,0.026804,0.094519,0.101657,0.218075
target_gradient_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.184166,0.111678,0.021826,0.060615,0.311124,0.184166
target_gradient_mean,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.162704,0.131626,0.019849,0.065548,0.074194,0.162704
target_gradient_q90,mean,constant:mean:fit=train,test,26,1.178434,1.077580,0.088945,0.503785,0.668820,1.178434
target_gradient_q90,mean,constant:mean:fit=train,train,76,1.308837,1.217991,0.095264,0.301132,2.294459,1.308837
target_gradient_q90,mean,constant:mean:fit=train,val,26,1.167104,1.085168,0.087763,0.471143,0.782368,1.167104
target_gradient_q90,knn,model:knn:fit=train,test,26,0.493039,0.376637,0.037213,0.210776,0.456900,0.493039
target_gradient_q90,knn,model:knn:fit=train,train,76,0.460181,0.294927,0.033494,0.105877,0.779689,0.460181
target_gradient_q90,knn,model:knn:fit=train,val,26,0.410733,0.288721,0.030886,0.165807,0.208462,0.410733
target_gradient_q90,extra_trees,model:extra_trees:fit=train,test,26,0.659970,0.592273,0.049812,0.282140,0.879908,0.659970
target_gradient_q90,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_gradient_q90,extra_trees,model:extra_trees:fit=train,val,26,0.693577,0.585426,0.052155,0.279987,0.835647,0.693577
target_gradient_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,0.166557,0.136769,0.012571,0.071204,0.119550,0.166557
target_gradient_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,0.351481,0.204654,0.025583,0.080867,0.646928,0.351481
target_gradient_q90,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.100008,0.076955,0.007520,0.040372,0.085859,0.100008
target_camera_pair_mean_delta,mean,constant:mean:fit=train,test,26,1.956662,1.402601,1.000000,0.240355,3.682550,1.956662
target_camera_pair_mean_delta,mean,constant:mean:fit=train,train,76,6.585592,2.880435,1.000000,0.086630,14.048983,6.585592
target_camera_pair_mean_delta,mean,constant:mean:fit=train,val,26,1.578333,1.205211,1.000000,0.257038,2.871640,1.578333
target_camera_pair_mean_delta,knn,model:knn:fit=train,test,26,10.352684,8.166286,5.290993,1.271717,15.830583,10.352684
target_camera_pair_mean_delta,knn,model:knn:fit=train,train,76,5.567480,2.561570,0.845403,0.073238,11.172805,5.567480
target_camera_pair_mean_delta,knn,model:knn:fit=train,val,26,7.771484,5.263739,4.923856,1.265618,13.078332,7.771484
target_camera_pair_mean_delta,extra_trees,model:extra_trees:fit=train,test,26,17.819842,17.158021,9.107267,2.188977,22.178035,17.819842
target_camera_pair_mean_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_camera_pair_mean_delta,extra_trees,model:extra_trees:fit=train,val,26,14.995154,14.066773,9.500628,2.442023,18.579674,14.995154
target_camera_pair_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.174546,1.495242,1.111355,0.267120,4.082848,2.174546
target_camera_pair_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,6.573219,2.893087,0.998121,0.086468,14.025174,6.573219
target_camera_pair_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,1.552134,1.070022,0.983401,0.252771,3.010975,1.552134
target_camera_pair_std_delta,mean,constant:mean:fit=train,test,26,3.800224,3.750143,1.000000,0.378029,4.737101,3.800224
target_camera_pair_std_delta,mean,constant:mean:fit=train,train,76,4.000733,3.926554,1.000000,0.316309,5.149566,4.000733
target_camera_pair_std_delta,mean,constant:mean:fit=train,val,26,3.633037,3.608946,1.000000,0.384750,4.237329,3.633037
target_camera_pair_std_delta,knn,model:knn:fit=train,test,26,2.108957,1.626673,0.554956,0.209790,2.870337,2.108957
target_camera_pair_std_delta,knn,model:knn:fit=train,train,76,1.645710,0.996225,0.411352,0.130115,2.483192,1.645710
