target,target_label,profile,profile_role,method,split,n_rows,rmse,mae,r2,nrmse_train_std
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,knn,val,170,452.005057186,350.881235294,0.301660641,0.781779276
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,knn,test,240,489.584118824,382.422274306,0.239840944,0.846775301
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,extra_trees,train,657,82.131612637,22.518388055,0.979820871,0.142053262
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,extra_trees,val,170,330.142633403,220.088395221,0.627451212,0.571008366
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,extra_trees,test,240,290.631267227,203.053902881,0.732123571,0.502670265
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,hist_gradient_boosting,train,657,132.484735840,84.610880002,0.947493459,0.229143058
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,hist_gradient_boosting,val,170,271.464175432,201.215105908,0.748113448,0.469519231
yield_strength_mpa,yield strength in MPa,composition_process_context,admissible,hist_gradient_boosting,test,240,349.722319107,267.368773837,0.612120766,0.604873015
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,knn,train,657,365.949987319,278.551764333,0.599386857,0.632940078
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,knn,val,170,430.249361515,334.789686275,0.367267123,0.744151043
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,knn,test,240,505.490904916,388.511131944,0.189642750,0.874287373
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,extra_trees,train,657,95.662622679,30.904175727,0.972624234,0.165456237
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,extra_trees,val,170,374.576368343,259.178357639,0.520420421,0.647860102
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,extra_trees,test,240,351.254850685,250.569878762,0.608713836,0.607523652
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,hist_gradient_boosting,train,657,186.643420546,133.181347047,0.895790553,0.322814880
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,hist_gradient_boosting,val,170,341.470796677,257.707159729,0.601446096,0.590601340
yield_strength_mpa,yield strength in MPa,process_only_control,negative_control,hist_gradient_boosting,test,240,398.966226752,293.427645884,0.495196803,0.690044333
yield_strength_mpa,yield strength in MPa,formula_hash_shortcut,negative_control,knn,train,657,493.802930241,385.060265094,0.270560889,0.854072076
yield_strength_mpa,yield strength in MPa,formula_hash_shortcut,negative_control,knn,val,170,548.227940012,451.894470588,-0.027311767,0.948204529
yield_strength_mpa,yield strength in MPa,formula_hash_shortcut,negative_control,knn,test,240,562.450317406,479.481791667,-0.003270778,0.972803280
yield_strength_mpa,yield strength in MPa,reference_shortcut,negative_control,knn,train,657,529.224860763,432.590275241,0.162157870,0.915337167
yield_strength_mpa,yield strength in MPa,reference_shortcut,negative_control,knn,val,170,586.343060689,484.946990196,-0.175123501,1.014127710
yield_strength_mpa,yield strength in MPa,reference_shortcut,negative_control,knn,test,240,633.254633712,509.852024306,-0.271764163,1.095265067
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,knn,train,657,569.216761053,411.434974632,0.030747166,0.984506391
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,knn,val,170,612.232337419,485.419127451,-0.281186819,1.058905307
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,knn,test,240,615.486009614,487.502763889,-0.201396055,1.064532796
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,extra_trees,train,657,527.354988286,410.277505395,0.168067986,0.912103072
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,extra_trees,val,170,599.557060401,486.601078139,-0.228686186,1.036982391
yield_strength_mpa,yield strength in MPa,dominant_element_shortcut,negative_control,extra_trees,test,240,583.819704754,490.646384393,-0.080954287,1.009763362
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,mean,baseline,mean,train,342,699.569189717,516.445638145,0.000000000,1.000000000
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,mean,baseline,mean,val,92,745.521111713,604.240369947,-0.001941632,1.065686029
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,mean,baseline,mean,test,105,762.739310396,560.468681426,-0.000009585,1.090298603
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,knn,train,342,512.370723672,368.605331384,0.463577155,0.732408933
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,knn,val,92,656.317685916,514.484483696,0.223483400,0.938174087
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,knn,test,105,755.293222273,536.133253968,0.019419894,1.079654784
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,extra_trees,train,342,278.978225223,166.327918108,0.840969924,0.398785752
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,extra_trees,val,92,659.912417642,481.138039156,0.214953954,0.943312581
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,extra_trees,test,105,593.140108099,436.304139949,0.395263075,0.847864824
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,train,342,312.638913831,221.693434026,0.800278546,0.446902063
ultimate_tensile_strength_mpa,ultimate tensile strength in MPa,composition_descriptors,admissible,hist_gradient_boosting,val,92,716.702363125,520.304655015,0.074022994,1.024491035
