target,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
target_cp_prev_same_camera_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,2.033018,1.427497,0.900060,0.203717,4.737653,2.033018
target_cp_prev_same_camera_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.853253,1.177165,0.776870,0.095024,3.014671,1.853253
target_cp_prev_same_camera_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,3.277696,1.519632,1.015568,0.173595,9.096517,3.277696
target_cp_prev_layer_mean_delta,mean,constant:mean:fit=train,test,26,1.957437,1.611985,1.010123,0.257074,3.924851,1.957437
target_cp_prev_layer_mean_delta,mean,constant:mean:fit=train,train,76,2.388675,1.470564,0.992028,0.120696,3.620392,2.388675
target_cp_prev_layer_mean_delta,mean,constant:mean:fit=train,val,26,2.721532,1.816577,1.031633,0.220572,6.976919,2.721532
target_cp_prev_layer_mean_delta,knn,model:knn:fit=train,test,26,3.175308,2.129300,1.638597,0.417020,7.809026,3.175308
target_cp_prev_layer_mean_delta,knn,model:knn:fit=train,train,76,2.061846,1.160315,0.856295,0.104182,3.717750,2.061846
target_cp_prev_layer_mean_delta,knn,model:knn:fit=train,val,26,3.259645,2.048704,1.235612,0.264185,8.012548,3.259645
target_cp_prev_layer_mean_delta,extra_trees,model:extra_trees:fit=train,test,26,4.359607,3.065950,2.249747,0.572556,9.353990,4.359607
target_cp_prev_layer_mean_delta,extra_trees,model:extra_trees:fit=train,train,76,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
target_cp_prev_layer_mean_delta,extra_trees,model:extra_trees:fit=train,val,26,4.825749,3.334676,1.829265,0.391113,9.802266,4.825749
target_cp_prev_layer_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.689540,1.356916,0.871876,0.221891,3.563166,1.689540
target_cp_prev_layer_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,1.942094,1.223059,0.806561,0.098131,2.680529,1.942094
target_cp_prev_layer_mean_delta,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,2.641939,1.758887,1.001462,0.214121,6.627910,2.641939
target_cp_prev_same_camera_abs_delta,mean,constant:mean:fit=train,test,26,1.722366,1.371537,0.762528,0.336777,3.641053,1.722366
target_cp_prev_same_camera_abs_delta,mean,constant:mean:fit=train,train,76,2.050236,1.305410,0.859444,0.145163,5.607142,2.050236
target_cp_prev_same_camera_abs_delta,mean,constant:mean:fit=train,val,26,2.898835,1.520618,0.898181,0.198194,8.114727,2.898835
target_cp_prev_same_camera_abs_delta,knn,model:knn:fit=train,test,26,2.143744,1.431694,0.949081,0.419170,1.787912,2.143744
target_cp_prev_same_camera_abs_delta,knn,model:knn:fit=train,train,76,1.517051,0.902645,0.635937,0.107412,3.441220,1.517051
target_cp_prev_same_camera_abs_delta,knn,model:knn:fit=train,val,26,3.358643,1.773437,1.040649,0.229632,7.887139,3.358643
