seed,case_id,split,variant_id,start_count,max_rounds_per_start,executed_rounds_total,function_evaluations_total,ridge_alpha,learned_center_shift,learned_source_width,raw_closure_coeff,head_center_shift,head_source_width,head_closure_coeff
172,P169-CASE-016,val,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0200638322,0.0362083401,-0.0981301103,-0.0200772079,0.0362245608,-0.0986182906
172,P169-CASE-017,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0200047654,0.0360366218,-0.0465874069,-0.0200229579,0.0360426643,-0.0459026787
172,P169-CASE-018,test,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0200282237,0.0359692877,0.0375488914,-0.0200474835,0.0359594607,0.0399069442
172,P169-CASE-019,train,low_capacity_explicit_latent_hidden_closure_head,3,48,66,531,1e-06,-0.0199690512,0.036242677,0.0775129883,-0.0199849529,0.0362113664,0.0796929197
172,P169-CASE-020,test,low_capacity_explicit_latent_hidden_closure_head,3,48,62,499,1e-06,-0.0199875836,0.0537621216,-0.0930778869,-0.019972803,0.0537054207,-0.0962392992
172,P169-CASE-021,train,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,-0.0200679168,0.0538692721,-0.0404700563,-0.0199988161,0.0540405226,-0.0381518698
172,P169-CASE-022,train,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.0200212156,0.0539792465,0.0301525775,-0.0200638967,0.0539222351,0.0350920742
172,P169-CASE-023,val,low_capacity_explicit_latent_hidden_closure_head,2,48,40,322,1e-06,-0.0198835189,0.0543376883,0.0945271566,-0.0199165789,0.0542580971,0.0991681245
172,P169-CASE-024,train,low_capacity_explicit_latent_hidden_closure_head,3,48,63,507,1e-06,-0.0199636596,0.0740982078,-0.1134350445,-0.0199681979,0.0739991411,-0.1142255579
172,P169-CASE-025,val,low_capacity_explicit_latent_hidden_closure_head,3,48,67,539,1e-06,-0.020017309,0.0739667992,-0.014502937,-0.02002992,0.0738407569,-0.0130115581
172,P169-CASE-026,train,low_capacity_explicit_latent_hidden_closure_head,3,48,65,523,1e-06,-0.0199516367,0.0738981411,0.0305303381,-0.0199650447,0.073763533,0.0327553071
172,P169-CASE-027,test,low_capacity_explicit_latent_hidden_closure_head,3,48,64,515,1e-06,-0.0198020573,0.0740567856,0.1115740885,-0.0198110029,0.0738994106,0.1142947351
172,P169-CASE-028,train,low_capacity_explicit_latent_hidden_closure_head,2,48,47,378,1e-06,-0.019850206,0.0961345919,-0.1199212011,-0.0198721108,0.0960198699,-0.1169748774
172,P169-CASE-029,test,low_capacity_explicit_latent_hidden_closure_head,2,48,44,354,1e-06,-0.0201442636,0.096159444,-0.0595611269,-0.0201799062,0.096012392,-0.0544960211
172,P169-CASE-030,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0198657712,0.0960338874,0.0225158126,-0.0198952219,0.0958807083,0.0282894757
172,P169-CASE-031,train,low_capacity_explicit_latent_hidden_closure_head,2,48,45,362,1e-06,-0.0200554823,0.0963233358,0.0908041869,-0.0200921549,0.0961297084,0.0978196162
172,P169-CASE-032,train,low_capacity_explicit_latent_hidden_closure_head,2,48,44,354,1e-06,6.09912e-05,0.0359850353,-0.1036819281,8.91771e-05,0.0360998729,-0.1049324043
172,P169-CASE-033,test,low_capacity_explicit_latent_hidden_closure_head,2,48,41,330,1e-06,-0.0001041849,0.0361590779,-0.0580974736,-7.52243e-05,0.0362566176,-0.0584948868
172,P169-CASE-034,train,low_capacity_explicit_latent_hidden_closure_head,2,48,44,354,1e-06,-9.58746e-05,0.0358154085,0.022664996,-7.15007e-05,0.0359064013,0.0244382295
172,P169-CASE-035,train,low_capacity_explicit_latent_hidden_closure_head,3,48,59,475,1e-06,-4.94645e-05,0.0357535113,0.1194222791,-2.8741e-05,0.0358195534,0.1229052441
172,P169-CASE-036,train,low_capacity_explicit_latent_hidden_closure_head,3,48,56,451,1e-06,-4.93406e-05,0.0539308076,-0.1036676231,-5.31769e-05,0.0539900209,-0.1015252676
