target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase159_guard_profile,phase159_guard_method,phase159_guard_val_rmse,phase159_guard_test_rmse,val_gain_vs_phase159,relative_val_gain_vs_phase159,test_gain_vs_phase159,test_reversal_ratio_vs_phase159,clears_phase159_validation_guard,clears_phase159_test_guard,selected_low_capacity
target_compressive_strength_mpa,binder_composition_core,ridge,ridge;alpha=100,100,,13,8.66079782487,8.87324316052,9.50267807851,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-3.20805387131,-0.566274789339,-4.13630006542,1.77078060012,false,false,false
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.0001,0.0001,,13,8.171847047,8.43333092808,9.04722262249,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.76814163887,-0.488622974017,-3.68084460941,1.68590855889,false,false,false
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.001,0.001,,13,8.17270130576,8.42253264575,9.04488507225,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75734335654,-0.486716897842,-3.67850705917,1.68547296709,false,false,false
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.01,0.01,,13,8.257291107,8.38829935187,9.08932147795,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.72311006266,-0.480674152908,-3.72294346487,1.69375348807,false,false,false
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=0.1,0.1,,13,8.36106021998,8.51630345273,9.16571990713,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.85111416352,-0.503269002671,-3.79934189404,1.70798998594,false,false,false
target_compressive_strength_mpa,binder_composition_core,lasso,lasso;alpha=1,1,,13,8.91385221051,9.3060363033,9.79835924798,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-3.64084701409,-0.642669967097,-4.4319812349,1.82587943378,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,13,8.29363754524,8.3867767084,9.1084887691,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.72158741919,-0.480405381048,-3.74211075601,1.69732522511,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,13,8.27064273507,8.38108099335,9.0933117624,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.71589170414,-0.479399992743,-3.72693374932,1.69449705933,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,13,8.22369099972,8.37669544893,9.06351156423,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.71150615972,-0.478625871316,-3.69713355114,1.68894392868,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,13,8.35836854054,8.41945197162,9.14929707067,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75426268241,-0.486173107693,-3.78291905758,1.70492966548,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,13,8.35023723155,8.41744063057,9.14613469041,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75225134136,-0.485818072593,-3.77975667733,1.70434037038,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,13,8.34190384033,8.4175227695,9.14320140432,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.75233348029,-0.485832571479,-3.77682339124,1.70379376593,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,13,8.50500275789,8.65698296641,9.31738903984,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.9917936772,-0.528101273314,-3.95101102675,1.73625283517,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,13,8.45889206498,8.60598577747,9.26442361296,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.94079648826,-0.519099422478,-3.89804559988,1.72638297011,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.8,0.1,0.8,13,8.40967223576,8.56043641489,9.21642639355,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.89524712568,-0.511059203475,-3.85004838047,1.71743890779,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,13,10.4790821568,10.9714080124,11.3596027387,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-5.30621872322,-0.93663573313,-5.99322472566,2.11681001805,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,13,10.0502733775,10.5131232354,10.9403336857,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-4.84793394623,-0.855740858556,-5.57395567262,2.03868114751,false,false,false
target_compressive_strength_mpa,binder_composition_core,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,13,9.45220559469,9.90776725882,10.324359129,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-4.24257796961,-0.74888547461,-4.95798111592,1.92389710599,false,false,false
target_compressive_strength_mpa,binder_composition_core,huber,huber;alpha=1e-05,1e-05,,13,8.21192224892,8.62084252528,9.16019293716,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.95565323607,-0.521721885215,-3.79381492408,1.70696006037,false,false,false
target_compressive_strength_mpa,binder_composition_core,huber,huber;alpha=0.001,0.001,,13,8.21496620097,8.61394949025,9.15979523307,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.94876020103,-0.520505150049,-3.79341721998,1.70688595003,false,false,false
target_compressive_strength_mpa,binder_composition_core,huber,huber;alpha=0.1,0.1,,13,8.36798167922,8.60642985609,9.23677338822,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-2.94124056688,-0.519177809731,-3.87039537514,1.72123047719,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,ordinary_least_squares,ordinary_least_squares,,,12,12.1092908919,13.2843766352,13.7313996211,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.61918734595,-1.34491311005,-8.36502160806,2.55878351985,false,false,false
target_compressive_strength_mpa,paste_aggregate_packing,ridge,ridge;alpha=0.0001,0.0001,,12,12.109304822,13.2827933696,13.72679085,full_concrete_features,hist_gradient_boosting,5.66518928921,5.36637801308,-7.6176040804,-1.34463363738,-8.36041283692,2.55792469642,false,false,false
