target,split_id,group_column,profile,profile_role,method,train_rows,val_rows,test_rows,train_rmse,val_rmse,test_rmse,mean_val_rmse,mean_test_rmse,val_gain_vs_mean,test_gain_vs_mean,relative_val_gain,selected_admissible,selected_negative_control
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_leakage,negative_control,knn,188,117,60,3.556845535,6.867436302,4.222377953,6.715202292,4.852397579,-0.152234010,0.630019626,-0.022670056,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_leakage,negative_control,extra_trees,188,117,60,0.000000000,5.788980050,3.854806701,6.715202292,4.852397579,0.926222242,0.997590878,0.137929165,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_leakage,negative_control,hist_gradient_boosting,188,117,60,1.408029532,5.489318766,4.515127153,6.715202292,4.852397579,1.225883527,0.337270425,0.182553477,false,true
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_plus_shortcuts,negative_control,knn,188,117,60,3.169066824,6.705280892,6.754917061,6.715202292,4.852397579,0.009921401,-1.902519482,0.001477454,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_plus_shortcuts,negative_control,extra_trees,188,117,60,0.000000000,5.509366585,3.512504851,6.715202292,4.852397579,1.205835707,1.339892728,0.179568039,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_0,Cell-Description,target_family_plus_shortcuts,negative_control,hist_gradient_boosting,188,117,60,1.375029085,6.029101321,3.802688390,6.715202292,4.852397579,0.686100971,1.049709188,0.102171304,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_pretest,admissible,knn,220,98,47,3.097633909,5.515100900,1.685146509,9.999182182,3.076913462,4.484081283,1.391766953,0.448444803,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_pretest,admissible,extra_trees,220,98,47,0.701268407,5.856224523,2.354049399,9.999182182,3.076913462,4.142957659,0.722864063,0.414329650,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_pretest,admissible,hist_gradient_boosting,220,98,47,2.132496503,5.019937440,3.164454354,9.999182182,3.076913462,4.979244743,-0.087540892,0.497965199,true,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,trigger_only,admissible,knn,220,98,47,5.639954503,8.161639087,4.238913128,9.999182182,3.076913462,1.837543096,-1.161999667,0.183769339,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,trigger_only,admissible,extra_trees,220,98,47,3.241427826,9.224748079,3.365037255,9.999182182,3.076913462,0.774434103,-0.288123793,0.077449744,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,trigger_only,admissible,hist_gradient_boosting,220,98,47,3.950902688,9.353715238,3.895499099,9.999182182,3.076913462,0.645466944,-0.818585637,0.064551974,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_safe,admissible,knn,220,98,47,3.109346052,5.262372897,3.317851103,9.999182182,3.076913462,4.736809285,-0.240937642,0.473719670,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_safe,admissible,extra_trees,220,98,47,0.000000000,6.169039527,2.618506389,9.999182182,3.076913462,3.830142656,0.458407073,0.383045592,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_safe,admissible,hist_gradient_boosting,220,98,47,1.374272951,5.063832388,3.216084817,9.999182182,3.076913462,4.935349795,-0.139171355,0.493575345,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_no_pretest_mass,admissible,knn,220,98,47,3.130054942,7.583074190,3.320992484,9.999182182,3.076913462,2.416107993,-0.244079023,0.241630560,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_no_pretest_mass,admissible,extra_trees,220,98,47,0.160801466,7.120173218,2.726772185,9.999182182,3.076913462,2.879008964,0.350141276,0.287924443,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_trigger_no_pretest_mass,admissible,hist_gradient_boosting,220,98,47,1.564765373,5.889087156,3.707332209,9.999182182,3.076913462,4.110095026,-0.630418747,0.411043118,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_mass_only,scaling_control,knn,220,98,47,3.590073884,6.644879714,1.920706286,9.999182182,3.076913462,3.354302468,1.156207176,0.335457681,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_mass_only,scaling_control,extra_trees,220,98,47,1.886803354,6.933848325,2.581341349,9.999182182,3.076913462,3.065333857,0.495572113,0.306558457,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_mass_only,scaling_control,hist_gradient_boosting,220,98,47,3.164376471,6.996487373,1.792324055,9.999182182,3.076913462,3.002694809,1.284589407,0.300294039,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,series_shortcut,negative_control,knn,220,98,47,5.520931950,9.318442098,4.647751292,9.999182182,3.076913462,0.680740084,-1.570837830,0.068079576,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,series_shortcut,negative_control,extra_trees,220,98,47,5.014798447,8.138393893,2.865507095,9.999182182,3.076913462,1.860788289,0.211406367,0.186094048,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,series_shortcut,negative_control,hist_gradient_boosting,220,98,47,5.033833416,8.104015929,2.818598592,9.999182182,3.076913462,1.895166253,0.258314870,0.189532126,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_description_shortcut,negative_control,knn,220,98,47,4.379335626,10.216926059,9.097933421,9.999182182,3.076913462,-0.217743876,-6.021019959,-0.021776169,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_description_shortcut,negative_control,extra_trees,220,98,47,3.747965443,10.502286592,2.210769193,9.999182182,3.076913462,-0.503104410,0.866144269,-0.050314556,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,cell_description_shortcut,negative_control,hist_gradient_boosting,220,98,47,4.181045133,10.563275009,2.155025586,9.999182182,3.076913462,-0.564092826,0.921887876,-0.056413896,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_leakage,negative_control,knn,220,98,47,2.993438614,8.617786150,1.682120653,9.999182182,3.076913462,1.381396032,1.394792809,0.138150901,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_leakage,negative_control,extra_trees,220,98,47,0.000000000,8.151579372,1.672600679,9.999182182,3.076913462,1.847602810,1.404312783,0.184775392,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_leakage,negative_control,hist_gradient_boosting,220,98,47,1.602013519,8.017541626,1.786507639,9.999182182,3.076913462,1.981640556,1.290405822,0.198180263,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_plus_shortcuts,negative_control,knn,220,98,47,2.753693236,6.216080567,3.660309947,9.999182182,3.076913462,3.783101616,-0.583396485,0.378341103,false,true
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_plus_shortcuts,negative_control,extra_trees,220,98,47,0.000000000,7.967903939,2.213430826,9.999182182,3.076913462,2.031278243,0.863482635,0.203144438,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_1,Cell-Description,target_family_plus_shortcuts,negative_control,hist_gradient_boosting,220,98,47,1.298208920,7.616662035,2.456521601,9.999182182,3.076913462,2.382520147,0.620391860,0.238271501,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_pretest,admissible,knn,195,97,73,2.828780884,5.516848723,5.040409584,6.274785746,10.110310696,0.757937024,5.069901112,0.120790901,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_pretest,admissible,extra_trees,195,97,73,1.447926426,4.691164186,5.216676862,6.274785746,10.110310696,1.583621561,4.893633835,0.252378587,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_pretest,admissible,hist_gradient_boosting,195,97,73,2.323542272,4.007217148,6.081368173,6.274785746,10.110310696,2.267568599,4.028942524,0.361377853,true,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,trigger_only,admissible,knn,195,97,73,4.079766455,7.584073232,8.971027766,6.274785746,10.110310696,-1.309287486,1.139282930,-0.208658517,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,trigger_only,admissible,extra_trees,195,97,73,2.190452996,7.089593170,8.830010690,6.274785746,10.110310696,-0.814807424,1.280300006,-0.129854222,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,trigger_only,admissible,hist_gradient_boosting,195,97,73,3.007624743,7.266813451,8.755006775,6.274785746,10.110310696,-0.992027704,1.355303921,-0.158097463,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_safe,admissible,knn,195,97,73,2.722049168,6.406963184,5.855833332,6.274785746,10.110310696,-0.132177437,4.254477365,-0.021064853,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_safe,admissible,extra_trees,195,97,73,0.000890117,5.185111562,6.178242604,6.274785746,10.110310696,1.089674185,3.932068093,0.173659186,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_safe,admissible,hist_gradient_boosting,195,97,73,1.503928293,5.318058831,6.431539167,6.274785746,10.110310696,0.956726915,3.678771530,0.152471647,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_no_pretest_mass,admissible,knn,195,97,73,2.722776160,6.421304486,9.200481175,6.274785746,10.110310696,-0.146518740,0.909829521,-0.023350397,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_no_pretest_mass,admissible,extra_trees,195,97,73,0.000890117,6.724994823,7.670605848,6.274785746,10.110310696,-0.450209076,2.439704849,-0.071748916,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_trigger_no_pretest_mass,admissible,hist_gradient_boosting,195,97,73,1.703818199,6.014451619,7.811675470,6.274785746,10.110310696,0.260334127,2.298635226,0.041488927,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_mass_only,scaling_control,knn,195,97,73,3.326254036,6.595406106,5.809647519,6.274785746,10.110310696,-0.320620359,4.300663177,-0.051096623,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_mass_only,scaling_control,extra_trees,195,97,73,2.036247965,5.929734443,5.553365563,6.274785746,10.110310696,0.345051303,4.556945133,0.054990133,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_mass_only,scaling_control,hist_gradient_boosting,195,97,73,2.875805823,6.016309538,6.101463833,6.274785746,10.110310696,0.258476209,4.008846863,0.041192834,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,series_shortcut,negative_control,knn,195,97,73,5.597953004,7.006912216,9.826464700,6.274785746,10.110310696,-0.732126469,0.283845996,-0.116677525,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,series_shortcut,negative_control,extra_trees,195,97,73,4.203632734,5.413552865,8.792861663,6.274785746,10.110310696,0.861232882,1.317449034,0.137252954,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,series_shortcut,negative_control,hist_gradient_boosting,195,97,73,4.251197838,5.413552862,8.879557758,6.274785746,10.110310696,0.861232884,1.230752938,0.137252955,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_description_shortcut,negative_control,knn,195,97,73,4.812688361,10.947881541,8.283120092,6.274785746,10.110310696,-4.673095795,1.827190604,-0.744741890,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_description_shortcut,negative_control,extra_trees,195,97,73,3.748062481,5.657839962,11.122115075,6.274785746,10.110310696,0.616945785,-1.011804378,0.098321410,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,cell_description_shortcut,negative_control,hist_gradient_boosting,195,97,73,4.231352237,5.726311424,10.959262742,6.274785746,10.110310696,0.548474323,-0.848952046,0.087409251,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_leakage,negative_control,knn,195,97,73,2.956183256,3.198467419,8.774296250,6.274785746,10.110310696,3.076318327,1.336014447,0.490266672,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_leakage,negative_control,extra_trees,195,97,73,0.000000000,3.420798760,8.302861915,6.274785746,10.110310696,2.853986986,1.807448781,0.454834173,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_leakage,negative_control,hist_gradient_boosting,195,97,73,1.402790590,3.506862184,8.247462878,6.274785746,10.110310696,2.767923563,1.862847818,0.441118418,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_plus_shortcuts,negative_control,knn,195,97,73,2.798812310,3.267383756,7.164940683,6.274785746,10.110310696,3.007401990,2.945370014,0.479283614,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_plus_shortcuts,negative_control,extra_trees,195,97,73,0.000000000,2.974903766,9.026799377,6.274785746,10.110310696,3.299881981,1.083511320,0.525895563,false,false
Post-Test-Mass-Unrecovered-g,cell_description_hash_2,Cell-Description,target_family_plus_shortcuts,negative_control,hist_gradient_boosting,195,97,73,1.291467544,2.701392743,8.402519488,6.274785746,10.110310696,3.573393003,1.707791209,0.569484465,false,true
