file_id,member_name,member_size,registration_keyword,timing_keyword,command_keyword,target_keyword
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0017.csv,134808664,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0018.csv,145105006,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0019.csv,155402247,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0020.csv,131597275,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0021.csv,134151439,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0022.csv,146811875,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0023.csv,153454775,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0024.csv,130681512,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0025.csv,136524803,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0026.csv,150441428,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0027.csv,153194741,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0028.csv,129812102,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0029.csv,136387849,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0030.csv,148848564,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0031.csv,150989130,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0032.csv,130551056,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0033.csv,139125934,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0034.csv,151030125,false,false,true,false
p102_nist_build_command_data_zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0035.csv,149268664,false,false,true,false
