file_id,file_name,member_name,member_size,extension,roles,coordinate_transform,trigger_timing,source_command_path,target_observation,split_key
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0020.csv,131597275,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0021.csv,134151439,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0022.csv,146811875,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0023.csv,153454775,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0024.csv,130681512,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0025.csv,136524803,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0026.csv,150441428,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0027.csv,153194741,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0028.csv,129812102,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0029.csv,136387849,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0030.csv,148848564,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0031.csv,150989130,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0032.csv,130551056,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0033.csv,139125934,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0034.csv,151030125,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0035.csv,149268664,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0036.csv,128339731,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0037.csv,138497899,.csv,source_command_path;split_key,false,false,true,false,true
p102_nist_build_command_data_zip,Build Command Data.zip,Build Command Data/XYPT Commands/T500_3D_Scan_Strategies_fused_layer0038.csv,150866210,.csv,source_command_path;split_key,false,false,true,false,true
