seed,case_id,split,policy_id,family,selected_count,posterior_trace_before,posterior_trace_after,posterior_trace_contraction,parameter_error_before,parameter_error_after,parameter_error_gain,closure_abs_error_before,closure_abs_error_after,closure_abs_error_gain,duplicate_fraction,boundary_fraction,utility_score
178,P169-CASE-033,test,random_budget_control,control,12,0,0,0,0.7951078155,0.5113278496,0.283779966,0.1748874831,0.1124357717,0.0624517114,0,0.1666666667,0.5676513816
178,P169-CASE-033,test,no_new_observation_control,control,0,0,0,0,0.7951078155,0.7951078155,0,0.1748874831,0.1748874831,0,0,0,0
178,P169-CASE-038,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,1.80667e-05,0.0041365065,-0.0041184399,0.1252810617,0.5635259054,-0.4382448437,0.0254617202,0.1238760279,-0.0984143078,0,0.4166666667,-0.8859944502
178,P169-CASE-038,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,1.80667e-05,0.1029643458,-0.1029462792,0.1252810617,1.164261361,-1.0389803,0.0254617202,0.2561235699,-0.2306618497,0,0.0833333333,-2.097737881
178,P169-CASE-038,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,1.80667e-05,0.0162617551,-0.0162436885,0.1252810617,0.928732375,-0.8034513132,0.0254617202,0.2042669561,-0.1788052359,0,0,-1.617826754
178,P169-CASE-038,val,uniform_budget_control,control,12,1.80667e-05,2.45e-08,1.80422e-05,0.1252810617,0.213052988,-0.0877719263,0.0254617202,0.0456672875,-0.0202055673,0,0.25,-0.1796136099
178,P169-CASE-038,val,random_budget_control,control,12,1.80667e-05,0.0003230998,-0.0003050331,0.1252810617,0.1995853354,-0.0743042736,0.0254617202,0.0426263122,-0.017164592,0,0.1666666667,-0.1523556496
178,P169-CASE-038,val,no_new_observation_control,control,0,1.80667e-05,1.80667e-05,0,0.1252810617,0.1252810617,0,0.0254617202,0.0254617202,0,0,0,0
178,P169-CASE-040,val,posterior_entropy_reduction_candidate,acquisition_candidate,12,1e-09,0,1e-09,0.0828545686,0.3523652722,-0.2695107037,0.017537969,0.0773610132,-0.0598230442,0,0.25,-0.5414336319
178,P169-CASE-040,val,latent_ensemble_disagreement_candidate,acquisition_candidate,12,1e-09,0,1e-09,0.0828545686,0.3558712113,-0.2730166427,0.017537969,0.0781338928,-0.0605959239,0,0.0833333333,-0.5484526601
178,P169-CASE-040,val,hybrid_uncertainty_hot_gradient_candidate,acquisition_candidate,12,1e-09,0,1e-09,0.0828545686,0.5391020324,-0.4562474638,0.017537969,0.1184983571,-0.1009603881,0,0,-0.9151583188
178,P169-CASE-040,val,uniform_budget_control,control,12,1e-09,0,1e-09,0.0828545686,0.2256894183,-0.1428348498,0.017537969,0.0494025172,-0.0318645482,0,0.25,-0.2876737052
178,P169-CASE-040,val,random_budget_control,control,12,1e-09,0,1e-09,0.0828545686,0.1472142605,-0.0643596919,0.017537969,0.0320038565,-0.0144658875,0,0,-0.130113726
