x,y,z,t,signal,temperature_C,frame_index,row_index,col_index,laser_power_W,scan_speed_mm_s,spot_size_um
256.0,248.0,0.0,0.004166666666666667,240.0,1136.1068266888913,125,248,256,285.0,960.0,67.0
260.0,248.0,0.0,0.004166666666666667,342.0,1167.6503955359974,125,248,260,285.0,960.0,67.0
264.0,248.0,0.0,0.004166666666666667,1669.0,1333.5167642565914,125,248,264,285.0,960.0,67.0
268.0,248.0,0.0,0.004166666666666667,709.0,1238.4567260409162,125,248,268,285.0,960.0,67.0
272.0,248.0,0.0,0.004166666666666667,246.0,1138.2504851650465,125,248,272,285.0,960.0,67.0
276.0,248.0,0.0,0.004166666666666667,120.0,1079.0676595659613,125,248,276,285.0,960.0,67.0
252.0,256.0,0.0,0.004166666666666667,162.0,1103.0432433846815,125,256,252,285.0,960.0,67.0
256.0,256.0,0.0,0.004166666666666667,323.0,1162.4413072359828,125,256,256,285.0,960.0,67.0
260.0,256.0,0.0,0.004166666666666667,521.0,1207.5058647340657,125,256,260,285.0,960.0,67.0
264.0,256.0,0.0,0.004166666666666667,2926.0,1404.337766002195,125,256,264,285.0,960.0,67.0
268.0,256.0,0.0,0.004166666666666667,909.0,1264.6079636168904,125,256,268,285.0,960.0,67.0
272.0,256.0,0.0,0.004166666666666667,303.0,1156.671017425031,125,256,272,285.0,960.0,67.0
276.0,256.0,0.0,0.004166666666666667,147.0,1095.164766468028,125,256,276,285.0,960.0,67.0
252.0,264.0,0.0,0.004166666666666667,107.0,1070.1804722621068,125,264,252,285.0,960.0,67.0
256.0,264.0,0.0,0.004166666666666667,408.0,1184.0314575790512,125,264,256,285.0,960.0,67.0
260.0,264.0,0.0,0.004166666666666667,872.0,1260.157332290253,125,264,260,285.0,960.0,67.0
264.0,264.0,0.0,0.004166666666666667,4095.0,1450.5594629649443,125,264,264,285.0,960.0,67.0
268.0,264.0,0.0,0.004166666666666667,1490.0,1320.0792997824217,125,264,268,285.0,960.0,67.0
272.0,264.0,0.0,0.004166666666666667,378.0,1176.8851873040137,125,264,272,285.0,960.0,67.0
276.0,264.0,0.0,0.004166666666666667,134.0,1087.7611175615493,125,264,276,285.0,960.0,67.0
256.0,272.0,0.0,0.004166666666666667,279.0,1149.3059446096609,125,272,256,285.0,960.0,67.0
260.0,272.0,0.0,0.004166666666666667,1065.0,1281.8660743577636,125,272,260,285.0,960.0,67.0
264.0,272.0,0.0,0.004166666666666667,4095.0,1450.5594629649443,125,272,264,285.0,960.0,67.0
268.0,272.0,0.0,0.004166666666666667,2117.0,1362.6026078088491,125,272,268,285.0,960.0,67.0
