feature_profile,method,baseline,split,n_points,rmse,mae,relative_l2,normalized_rmse,hot_q90_rmse,gradient_q90_rmse
camera_layer_time_control,knn,model:knn:fit=train,val,26,2.7182862335965323,1.9140605128205137,0.10292794258799451,0.5919844927711743,5.247136438712982,2.7182862335965323
camera_layer_time_control,extra_trees,model:extra_trees:fit=train,test,26,10.99727251384017,8.080905346153848,0.41253896210774627,1.9581378963279499,18.46817289617932,10.99727251384017
camera_layer_time_control,extra_trees,model:extra_trees:fit=train,train,76,1.8006160946904698e-14,1.5356137414289008e-14,6.534062818341841e-16,7.959564459719528e-16,2.0524417735663547e-14,1.8006160946904698e-14
camera_layer_time_control,extra_trees,model:extra_trees:fit=train,val,26,10.45181481657138,7.842634576923081,0.3957581001162826,2.276181299914061,14.311570813447842,10.45181481657138
camera_layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,test,26,1.535568940135318,0.8933899285393844,0.05760355724667849,0.2734183162524122,4.031377582176714,1.535568940135318
camera_layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,train,76,2.0770764685651857,1.0039451946510496,0.07537280247646332,0.09181648485794078,3.0669387974715425,2.0770764685651857
camera_layer_time_control,hist_gradient_boosting,model:hist_gradient_boosting:fit=train,val,26,0.9720726484908978,0.5695804398552209,0.03680754311986173,0.21169659274337804,2.523277436845162,0.9720726484908978
path_contact_graph_shuffled,mean,constant:mean:fit=train,test,26,1.616620459031165,1.3274908603238886,0.06064403018580666,0.28785008108366106,2.0084822122069244,1.616620459031165
path_contact_graph_shuffled,mean,constant:mean:fit=train,train,76,2.475157424815192,1.2858954757617724,0.08981833577250033,0.1094135231205772,4.041212174298709,2.475157424815192
path_contact_graph_shuffled,mean,constant:mean:fit=train,val,26,1.5923420619344277,1.2262419372469653,0.060294052298674246,0.3467779795232453,0.8490472156070283,1.5923420619344277
path_contact_graph_shuffled,knn,model:knn:fit=train,test,26,1.5223188196630753,1.2289934743589737,0.05710650755180711,0.2710590437150665,1.6610957245965465,1.5223188196630753
path_contact_graph_shuffled,knn,model:knn:fit=train,train,76,1.7847608478034596,1.1224995,0.06476527411729888,0.07889476860261734,2.5073329143505316,1.7847608478034596
path_contact_graph_shuffled,knn,model:knn:fit=train,val,26,1.566288282653763,1.1672185512820508,0.05930752561695227,0.34110402469037626,0.4821525333496451,1.566288282653763
