target,profile,method,split,n_rows,rmse,mae,r2,nrmse_train_std
Energy-Percent-Positive-Ejecta-%,series_shortcut,knn,train,227,30.168033464,24.569306100,-0.270838277,1.127314631
Energy-Percent-Positive-Ejecta-%,series_shortcut,knn,val,84,28.906244836,24.499576294,-0.072219282,1.080164299
Energy-Percent-Positive-Ejecta-%,series_shortcut,knn,test,53,38.342290671,32.722092459,-3.799475575,1.432769070
Energy-Percent-Positive-Ejecta-%,series_shortcut,extra_trees,train,227,24.934327615,20.808767451,0.131856321,0.931742282
Energy-Percent-Positive-Ejecta-%,series_shortcut,extra_trees,val,84,30.084207854,25.986698716,-0.161388230,1.124182248
Energy-Percent-Positive-Ejecta-%,series_shortcut,extra_trees,test,53,24.941366525,21.580406736,-1.030851484,0.932005310
Energy-Percent-Positive-Ejecta-%,series_shortcut,hist_gradient_boosting,train,227,25.597293976,21.793087539,0.085077312,0.956515911
Energy-Percent-Positive-Ejecta-%,series_shortcut,hist_gradient_boosting,val,84,29.549364710,25.427749124,-0.120460513,1.104196308
Energy-Percent-Positive-Ejecta-%,series_shortcut,hist_gradient_boosting,test,53,23.986329916,20.794273284,-0.878301395,0.896317643
Energy-Percent-Negative-Ejecta-%,mean,mean,train,227,20.831038439,17.210212941,0.000000000,1.000000000
Energy-Percent-Negative-Ejecta-%,mean,mean,val,84,24.776710594,19.905055742,-0.011846905,1.189413128
Energy-Percent-Negative-Ejecta-%,mean,mean,test,53,12.622406450,12.225444481,-1.875438620,0.605942257
Energy-Percent-Negative-Ejecta-%,cell_pretest,knn,train,227,14.742158882,9.095051410,0.499158469,0.707701583
Energy-Percent-Negative-Ejecta-%,cell_pretest,knn,val,84,22.382667867,15.261036585,0.174245000,1.074486418
Energy-Percent-Negative-Ejecta-%,cell_pretest,knn,test,53,18.892354833,11.647128957,-5.441573518,0.906932935
Energy-Percent-Negative-Ejecta-%,cell_pretest,extra_trees,train,227,5.815069053,2.098970993,0.922073008,0.279154065
Energy-Percent-Negative-Ejecta-%,cell_pretest,extra_trees,val,84,26.961202622,16.634549946,-0.198135764,1.294280297
Energy-Percent-Negative-Ejecta-%,cell_pretest,extra_trees,test,53,13.788521931,8.136059871,-2.431272492,0.661921967
Energy-Percent-Negative-Ejecta-%,cell_pretest,hist_gradient_boosting,train,227,9.884019714,6.326291955,0.774863783,0.474485213
Energy-Percent-Negative-Ejecta-%,cell_pretest,hist_gradient_boosting,val,84,23.870912724,15.306707271,0.060783829,1.145930041
Energy-Percent-Negative-Ejecta-%,cell_pretest,hist_gradient_boosting,test,53,10.169496713,6.565122629,-0.866460059,0.488189619
Energy-Percent-Negative-Ejecta-%,trigger_numeric,knn,train,227,15.358678313,10.031161228,0.456391989,0.737297776
Energy-Percent-Negative-Ejecta-%,trigger_numeric,knn,val,84,18.228140370,10.228364484,0.452338464,0.875047129
Energy-Percent-Negative-Ejecta-%,trigger_numeric,knn,test,53,13.484015795,9.060919624,-2.281393287,0.647304062
Energy-Percent-Negative-Ejecta-%,trigger_numeric,extra_trees,train,227,6.087703064,1.579336996,0.914594649,0.292241939
Energy-Percent-Negative-Ejecta-%,trigger_numeric,extra_trees,val,84,22.858151856,16.510488712,0.138788662,1.097312163
Energy-Percent-Negative-Ejecta-%,trigger_numeric,extra_trees,test,53,6.943493146,4.255384738,0.129886709,0.333324388
Energy-Percent-Negative-Ejecta-%,trigger_numeric,hist_gradient_boosting,train,227,8.632668941,5.064709296,0.828261236,0.414413759
Energy-Percent-Negative-Ejecta-%,trigger_numeric,hist_gradient_boosting,val,84,23.682848563,15.513334592,0.075524540,1.136901966
Energy-Percent-Negative-Ejecta-%,trigger_numeric,hist_gradient_boosting,test,53,9.094805688,6.875750179,-0.492817198,0.436598767
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,knn,train,227,15.637124993,10.346961878,0.436502525,0.750664689
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,knn,val,84,23.648725671,18.356598163,0.078186640,1.135263887
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,knn,test,53,11.163153064,8.822755800,-1.249021149,0.535890378
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,extra_trees,train,227,0.000000000,0.000000000,1.000000000,0.000000000
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,extra_trees,val,84,26.506711124,17.845842684,-0.158081707,1.272462302
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,extra_trees,test,53,10.607603445,6.303985385,-1.030740038,0.509221059
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,hist_gradient_boosting,train,227,6.307859950,3.836476880,0.908305720,0.302810634
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,hist_gradient_boosting,val,84,22.971483333,14.412930156,0.130227663,1.102752674
Energy-Percent-Negative-Ejecta-%,cell_trigger_safe,hist_gradient_boosting,test,53,10.762429640,7.313563498,-1.090453110,0.516653535
Energy-Percent-Negative-Ejecta-%,series_shortcut,knn,train,227,25.140933603,19.439240605,-0.456602200,1.206897759
Energy-Percent-Negative-Ejecta-%,series_shortcut,knn,val,84,21.191150817,16.590861782,0.259821278,1.017287298
Energy-Percent-Negative-Ejecta-%,series_shortcut,knn,test,53,32.307047915,28.577292448,-17.837112510,1.550909140
Energy-Percent-Negative-Ejecta-%,series_shortcut,extra_trees,train,227,19.066670005,14.287779584,0.162224107,0.915300985
Energy-Percent-Negative-Ejecta-%,series_shortcut,extra_trees,val,84,25.017219470,17.125176808,-0.031586354,1.200958826
Energy-Percent-Negative-Ejecta-%,series_shortcut,extra_trees,test,53,15.337065307,13.283186728,-3.245260197,0.736260237
Energy-Percent-Negative-Ejecta-%,series_shortcut,hist_gradient_boosting,train,227,19.421009251,14.843253107,0.130795933,0.932311143
Energy-Percent-Negative-Ejecta-%,series_shortcut,hist_gradient_boosting,val,84,24.690765473,16.752157575,-0.004839318,1.185287308
Energy-Percent-Negative-Ejecta-%,series_shortcut,hist_gradient_boosting,test,53,14.907834506,13.198204920,-3.010965311,0.715654889
Post-Test-Mass-Unrecovered-g,mean,mean,train,227,7.532585828,5.918417329,0.000000000,1.000000000
Post-Test-Mass-Unrecovered-g,mean,mean,val,84,7.101409205,5.721731370,-0.561768802,0.942758485
