target,profile,model,model_label,alpha,l1_ratio,split,n_rows,feature_count,rmse,mae,r2
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,train,11644,8,23.3924700092,17.4840669645,0.480669307046
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,val,3661,8,25.5907555191,19.1518639163,0.47286298944
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.2,1,0.2,test,5958,8,30.162445549,22.0916613453,0.284036451361
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,train,11644,8,22.9790032264,17.013927701,0.498865617861
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,val,3661,8,25.1712623055,18.6495424726,0.49000339566
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.5,1,0.5,test,5958,8,29.9593895026,21.6750864899,0.293643853377
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,train,11644,8,22.4045999954,16.4239191588,0.523606072475
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,val,3661,8,24.6182201993,18.0173189858,0.512167648919
target_critical_temp_K,composition_complexity_linear,elastic_net,elastic_net;alpha=1;l1_ratio=0.8,1,0.8,test,5958,8,29.7772764101,21.1202135574,0.302205158172
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=1e-05,1e-05,,train,11644,8,22.5061833503,14.7022032448,0.519276300648
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=1e-05,1e-05,,val,3661,8,24.8078295736,16.4503854141,0.504624147071
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=1e-05,1e-05,,test,5958,8,38.3129178798,19.7924572524,-0.155176293192
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.001,0.001,,train,11644,8,22.5059799701,14.7022157945,0.519284988862
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.001,0.001,,val,3661,8,24.8076630405,16.4504094253,0.504630797893
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.001,0.001,,test,5958,8,38.311941653,19.7924805933,-0.155117425339
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.1,0.1,,train,11644,8,22.4858439021,14.7033626092,0.520144794117
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.1,0.1,,val,3661,8,24.7915991268,16.4528725162,0.50527213131
target_critical_temp_K,composition_complexity_linear,huber,huber;alpha=0.1,0.1,,test,5958,8,38.2154515193,19.7948589282,-0.149306334848
target_critical_temp_K,cuprate_oxide_proxy,ordinary_least_squares,ordinary_least_squares,,,train,11644,16,20.6837450837,14.3413341697,0.593977424938
target_critical_temp_K,cuprate_oxide_proxy,ordinary_least_squares,ordinary_least_squares,,,val,3661,16,20.4764773113,14.7660490325,0.662504658396
target_critical_temp_K,cuprate_oxide_proxy,ordinary_least_squares,ordinary_least_squares,,,test,5958,16,28.3037904077,17.8386825012,0.369555283697
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.0001,0.0001,,train,11644,16,20.6837450837,14.3413342213,0.593977424938
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.0001,0.0001,,val,3661,16,20.4764772749,14.7660491048,0.662504659597
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.0001,0.0001,,test,5958,16,28.3037892938,17.8386824004,0.369555333318
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.01,0.01,,train,11644,16,20.6837450839,14.3413393333,0.593977424933
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.01,0.01,,val,3661,16,20.4764736673,14.7660562642,0.662504778518
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=0.01,0.01,,test,5958,16,28.3036790229,17.8386724218,0.369560245704
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=1,1,,train,11644,16,20.6837463397,14.3418497929,0.59397737563
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=1,1,,val,3661,16,20.4761172154,14.7667711621,0.662516528564
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=1,1,,test,5958,16,28.2926852785,17.8376781002,0.370049902715
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=10,10,,train,11644,16,20.6838660875,14.3464513514,0.593972674308
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=10,10,,val,3661,16,20.4732541655,14.7731867732,0.662610898457
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=10,10,,test,5958,16,28.1956931634,17.8289448182,0.374361650496
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=100,100,,train,11644,16,20.6923826911,14.3901415523,0.593638241114
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=100,100,,val,3661,16,20.4715884603,14.8317273263,0.662665796216
target_critical_temp_K,cuprate_oxide_proxy,ridge,ridge;alpha=100,100,,test,5958,16,27.456478555,17.7622820897,0.40673670196
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.0001,0.0001,,train,11644,16,20.6837450888,14.3413539659,0.593977424741
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.0001,0.0001,,val,3661,16,20.4764475787,14.7660773032,0.662505638507
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.0001,0.0001,,test,5958,16,28.3031893436,17.8386208879,0.369582059873
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.001,0.001,,train,11644,16,20.6837469833,14.3419684319,0.59397735036
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.001,0.001,,val,3661,16,20.4758755838,14.7669286577,0.662524493569
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.001,0.001,,test,5958,16,28.2904662395,17.8374837457,0.370148714759
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.01,0.01,,train,11644,16,20.6839358872,14.34781192,0.593969933948
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.01,0.01,,val,3661,16,20.4708665091,14.7749657705,0.662689588658
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.01,0.01,,test,5958,16,28.1719999226,17.8268684279,0.375412674271
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.1,0.1,,train,11644,16,20.7038957323,14.4187723987,0.593185923829
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.1,0.1,,val,3661,16,20.4665964081,14.8652162172,0.662830295873
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.1,0.1,,test,5958,16,27.1067078421,17.7254512493,0.421755700558
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=1,1,,train,11644,16,21.0934511671,15.0551440584,0.577733030337
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=1,1,,val,3661,16,21.5044767101,15.7723519297,0.627766846583
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=1,1,,test,5958,16,27.0170674734,18.5979704355,0.425573820148
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,train,11644,16,20.6838557944,14.3462287964,0.593973078418
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,val,3661,16,20.4733476741,14.772873735,0.662607816498
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,test,5958,16,28.2003792874,17.829372691,0.374153671037
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,train,11644,16,20.6837957868,14.3446408935,0.593975434331
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,val,3661,16,20.4742121414,14.7706383534,0.66257932378
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,test,5958,16,28.2336982128,17.832383175,0.372673914635
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,train,11644,16,20.6837587182,14.3430632881,0.593976889647
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,val,3661,16,20.4751567716,14.7684121365,0.662548187527
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,test,5958,16,28.2675097049,17.8354308411,0.371170496175
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,train,11644,16,20.6918138412,14.388274176,0.59366058322
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,val,3661,16,20.4705132952,14.8292054412,0.662701228784
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,test,5958,16,27.4826445686,17.7646359356,0.40560540376
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,train,11644,16,20.6878754418,14.3735712125,0.593815250625
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,val,3661,16,20.4664983937,14.8096829267,0.662833525273
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,test,5958,16,27.7026691956,17.7845212929,0.396049921299
