target,profile,model,model_label,alpha,l1_ratio,feature_count,train_rmse,val_rmse,test_rmse,phase156_guard_profile,phase156_guard_method,phase156_guard_val_rmse,phase156_guard_test_rmse,val_gain_vs_phase156,relative_val_gain_vs_phase156,test_gain_vs_phase156,test_reversal_ratio_vs_phase156,clears_phase156_validation_guard,clears_phase156_test_guard,selected_low_capacity
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=0.1,0.1,,16,20.7038957323,20.4665964081,27.1067078421,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06019960272,-0.649680945173,-12.3770690116,1.84028326519,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,lasso,lasso;alpha=1,1,,16,21.0934511671,21.5044767101,27.0170674734,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-9.09807990468,-0.733337813338,-12.2874286429,1.83419755123,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.2,0.001,0.2,16,20.6838557944,20.4733476741,28.2003792874,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06695086868,-0.65022512138,-13.4707404568,1.91453297748,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.5,0.001,0.5,16,20.6837957868,20.4742121414,28.2336982128,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06781533597,-0.650294800538,-13.5040593823,1.91679501023,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.001;l1_ratio=0.8,0.001,0.8,16,20.6837587182,20.4751567716,28.2675097049,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.0687599662,-0.650370941117,-13.5378708744,1.91909048349,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.2,0.01,0.2,16,20.6918138412,20.4705132952,27.4826445686,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06411648975,-0.64999666029,-12.7530057381,1.86580573257,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.5,0.01,0.5,16,20.6878754418,20.4664983937,27.7026691956,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.06010158829,-0.649673044859,-12.9730303651,1.88074327649,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.01;l1_ratio=0.8,0.01,0.8,16,20.684994877,20.4669070688,27.9660355531,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.0605102634,-0.649705985535,-13.2363967226,1.89862330468,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.2,0.1,0.2,16,20.8234998999,20.8147862934,25.9888703252,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.40838948797,-0.677746296516,-11.2592314947,1.76439291039,false,false,false
target_critical_temp_K,cuprate_oxide_proxy,elastic_net,elastic_net;alpha=0.1;l1_ratio=0.5,0.1,0.5,16,20.7936148218,20.7027357325,26.0787722953,weighted_feature_core,extra_trees,12.4063968054,14.7296388305,-8.29633892709,-0.668714620144,-11.3491334647,1.77049638456,false,false,false
